formula_id,n_components,smiles,ratios,sources,labels,groups,new_component_count,compatibility_reasons,predicted_tg_mean_c,predicted_tg_sigma_c,target_distance_c,prior_score,ood_distance,ood_penalty,agent_score,feature_aromatic_backbone,feature_rigid_multi_aromatic,feature_imide_or_anhydride,feature_cyanate_ester,feature_maleimide,feature_nitrile_rich,feature_sulfone_linker,feature_fluorinated_rigid_linker,feature_high_functionality,feature_flexible_ether_risk,feature_long_aliphatic_risk,feature_peg_like_risk,feature_peptide_like_risk,feature_too_flexible_risk,feature_too_large_risk,feature_heavy_halogen_risk,feature_stereochemical_complexity_risk,feature_druglike_hetero_complexity_risk,feature_formal_charge_practical_risk,feature_reaction::马来酰亚胺与烯基共聚/加成。,feature_contains_out_of_library,feature_contains_generated,feature_contains_chembl,feature_three_or_more_component_blending,feature_reaction::马来酰亚胺-胺 Michael 加成。,feature_reaction::马来酰亚胺-硫醇 Michael 加成。,feature_reaction::酸酐-胺开环形成酰胺酸。,feature_reaction::环氧-仲胺开环固化。,feature_reaction::异氰酸酯-仲胺形成脲键。,feature_reaction::酸酐-羟基酯化。,feature_reaction::环氧-羟基醚化，常需催化剂。,feature_reaction::异氰酸酯-羟基形成聚氨酯。,feature_reaction::氰酸酯-胺共反应。,feature_reaction::酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,feature_reaction::环氧-伯胺开环固化。,feature_reaction::异氰酸酯-伯胺形成聚脲。,feature_reaction::氰酸酯-酚共固化/催化三聚。,feature_reaction::氰酸酯三聚形成三嗪网络。,feature_reaction::硫醇-烯点击反应。,feature_reaction::环氧-羧酸开环酯化。,feature_reaction::环氧-酸酐固化，常需催化剂。,iteration,feature_reaction::自由基共聚。,feature_reaction::硫醇-Michael/thiol-ene 反应。,feature_reaction::自由基均/共聚形成交联网络。
1600,3,CS(=O)(=O)Nc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1|Cc1cc(C)nc(N/C=C(\C#N)C(=O)c2cccc(CSc3ccccc3)c2)n1|c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,0.40984:0.15367:0.43649,chembl|chembl|library,chembl_scan_5573|chembl_scan_1343|library_45,aromatic;secondary_amine|aromatic;nitrile;secondary_amine;vinyl|aromatic;epoxy;ether,2,环氧-仲胺开环固化。,250.00012894453133,53.80934850882138,0.00012894453132616945,1.7074594031625672,0.06108042597770691,3.912987232208252,1.6163003412733887,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,,True,False,True,True,,,,True,,,,,,,,,,,,,,4,,,
7533,2,COc1cc(CC2CO2)ccc1OCc1ccc(COc2ccc(CC3CO3)cc2OC)cc1|O=C(NC1CC1)c1ccc(Cl)c(Nc2nncc3c2cnn3-c2ccccc2Cl)c1,0.62319:0.37681,library|chembl,library_105|chembl_scan_1620,aromatic;epoxy;ether|aromatic;secondary_amine,1,环氧-仲胺开环固化。,250.000869539317,71.38458596086878,0.0008695393169944055,1.2453120359180365,0.024391163140535355,1.5625678300857544,2.6883441800302763,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,True,False,True,False,,,,True,,,,,,,,,,,,,,6,,,
12388,2,COc1cc2nc(N3CCN(C(=O)/C(F)=C/c4ccccc4)CC3)nc(N)c2cc1OC|N#COc1ccc(-c2ccc(OC#N)cc2)cc1,0.77844:0.22156,chembl|generated,chembl_scan_2801|generated_dicyanate_biphenyl,aromatic;ether;primary_amine;vinyl|aromatic;cyanate_ester;ether;nitrile,2,氰酸酯-胺共反应。,249.99701073061865,83.39264801707851,0.0029892693813451388,2.3814983843414383,0.046117544174194336,2.9544219970703125,1.9301984344343637,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,True,True,False,,,,,,,,,True,,,,,,,,,4,,,
11657,4,CN(C)CCCn1cc(C2=C(c3cn(CCOCCO)c4ccccc34)C(=O)NC2=O)c2ccccc21|COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1|Cc1ccccc1NC(=O)Nc1ccc([N+](=O)[O-])cc1O|O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,0.09208:0.11726:0.41149:0.37917,chembl|library|chembl|chembl,chembl_scan_3462|library_114|chembl_scan_1442|chembl_scan_4141,aromatic;ether;hydroxyl;imide;maleimide;secondary_amine;vinyl|aromatic;epoxy;ether;hydroxyl|aromatic;hydroxyl;phenol;secondary_amine|aromatic;imide;secondary_amine,3,环氧-仲胺开环固化。|环氧-羟基醚化，常需催化剂。,249.99424432936686,66.94194597498768,0.0057556706331354235,2.4998724948134488,0.0394493043422699,2.527235507965088,0.7070088652186575,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,True,False,True,True,,,,True,,,True,,,,,,,,,,,2,,,
7435,2,CN(C)CCCn1cc(C2=C(c3cn(CCOCCO)c4ccccc34)C(=O)NC2=O)c2ccccc21|Nc1nc(N)c2cc(NC(=O)Cc3cccc(C(F)(F)F)c3)ccc2n1,0.22824:0.77176,chembl|chembl,chembl_scan_3462|chembl_scan_3118,aromatic;ether;hydroxyl;imide;maleimide;secondary_amine;vinyl|aromatic;primary_amine;secondary_amine,2,马来酰亚胺-胺 Michael 加成。,250.00774211470417,106.71813382458409,0.007742114704171854,2.517541246936116,0.048816144466400146,3.1273021697998047,3.177319908511363,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,True,False,True,False,True,,,,,,,,,,,,,,,,,5,,,
789,2,COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1|O=C(NC1CC1)c1csc(C(O)c2cccc(C(F)(F)F)c2)n1,0.44167:0.55833,library|chembl,library_104|chembl_scan_5756,aromatic;epoxy;ester;ether|aromatic;hydroxyl;secondary_amine,1,环氧-羟基醚化，常需催化剂。,249.99223478102786,88.03511681590751,0.00776521897213911,1.2372804843097618,0.04269818216562271,2.735368013381958,4.117602257714656,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,,True,False,True,False,,,,,,,True,,,,,,,,,,,2,,,
37536,2,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21|Oc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)nc3c2Cc2cccc(O)c2-3)cc1,0.65000:0.35000,library|chembl,library_142|chembl_scan_3833,anhydride;aromatic;ester;ether|aromatic;hydroxyl;phenol,1,酸酐-羟基酯化。,249.99219444613325,98.61331143550817,0.00780555386674564,1.9745000000000001,0.051738590002059937,3.3145225048065186,3.7754871166795163,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,True,False,True,False,,,,,,True,,,,,,,,,,,,1,,,
11022,2,Nc1nc(S)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1|O=C1NC(=O)c2ccc(I)cc2/C1=C/NCc1ccc(-c2ccoc2)c(O)c1,0.77425:0.22575,chembl|chembl,chembl_scan_2983|chembl_scan_444,aromatic;primary_amine;thiol|aromatic;hydroxyl;imide;phenol;secondary_amine;vinyl,2,硫醇-烯点击反应。,249.99063076845763,102.17343538084896,0.009369231542365242,2.136517659426091,0.06629440933465958,4.247009754180908,3.907800513274874,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,,True,False,True,False,,,,,,,,,,,,,,,True,,,3,,,
19398,2,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21|Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.85000:0.15000,chembl|library,chembl_scan_278|library_223,aromatic;hydroxyl;imide;maleimide;phenol;secondary_amine;vinyl|aromatic;primary_amine,1,马来酰亚胺-胺 Michael 加成。,250.01002773160022,83.71504693561819,0.010027731600217749,2.4095,0.03474503755569458,2.2258667945861816,1.8067839258424727,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,False,True,False,True,,,,,,,,,,,,,,,,,1,,,
151,3,C/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1|Cc1cc(-c2csc(N=C(N)N)n2)cn1C|O=C1NC(=O)C(c2cn(CCOCCO)c3ccccc23)=C1c1c[nH]c2ccccc12,0.50425:0.31970:0.17605,chembl|chembl|chembl,chembl_scan_2712|chembl_scan_1|chembl_scan_3208,aromatic;ether;primary_amine;vinyl|aromatic;primary_amine|aromatic;ether;hydroxyl;imide;maleimide;secondary_amine;vinyl,3,马来酰亚胺-胺 Michael 加成。,250.0103500475101,63.69211871948248,0.010350047510087279,2.6758549476082556,0.04548065364360809,2.913620948791504,0.320276586582853,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,False,True,True,True,,,,,,,,,,,,,,,,,5,,,
