formula_id,n_components,smiles,ratios,sources,labels,groups,new_component_count,compatibility_reasons,predicted_tg_mean_c,predicted_tg_sigma_c,observed_tg_c,target_tg_c,target_distance_c,prior_score,ood_distance,ood_penalty,agent_score,observation_id,observation_source_type,authority_weight,evidence_role,feature_aromatic_backbone,feature_rigid_multi_aromatic,feature_imide_or_anhydride,feature_cyanate_ester,feature_maleimide,feature_nitrile_rich,feature_sulfone_linker,feature_fluorinated_rigid_linker,feature_high_functionality,feature_flexible_ether_risk,feature_long_aliphatic_risk,feature_peg_like_risk,feature_peptide_like_risk,feature_too_flexible_risk,feature_too_large_risk,feature_heavy_halogen_risk,feature_stereochemical_complexity_risk,feature_druglike_hetero_complexity_risk,feature_formal_charge_practical_risk,feature_reaction::环氧-伯胺开环固化。,feature_contains_out_of_library,feature_contains_generated,feature_contains_chembl,feature_three_or_more_component_blending,environment_reward,pievo_round,feature_reaction::异氰酸酯-伯胺形成聚脲。,feature_reaction::马来酰亚胺与烯基共聚/加成。,feature_reaction::马来酰亚胺-胺 Michael 加成。,feature_reaction::马来酰亚胺-硫醇 Michael 加成。,round,pievo_selection_method,pievo_target_guard_enabled,pievo_target_guard_active,pievo_target_guard_max_distance_c,pievo_target_guard_candidate_count,pievo_selection_pool_size,pievo_selection_pool_reason,feature_reaction::异氰酸酯-羟基形成聚氨酯。,feature_reaction::酸酐-胺开环形成酰胺酸。,feature_reaction::酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,feature_reaction::环氧-仲胺开环固化。,feature_reaction::环氧-羧酸开环酯化。,feature_reaction::环氧-羟基醚化，常需催化剂。,feature_reaction::氰酸酯三聚形成三嗪网络。,feature_reaction::环氧-酸酐固化，常需催化剂。,feature_reaction::酸酐-羟基酯化。,feature_reaction::氰酸酯-酚共固化/催化三聚。,feature_reaction::异氰酸酯-仲胺形成脲键。,feature_reaction::硫醇-烯点击反应。,feature_reaction::氰酸酯-胺共反应。
replacement_surrogate_0111,2,COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1|Nc1ccc(-c2ccc(N)cc2)cc1,0.25000:0.75000,surrogate,replacement_surrogate_0111_0|replacement_surrogate_0111_1,aromatic;epoxy;ester;ether|aromatic;primary_amine,0,环氧-伯胺开环固化。,249.51056305679705,70.03685420216627,249.51056305679705,250.0,0.4894369432029464,1.1315000000000002,,0.0,,replacement_surrogate_0111,surrogate,1.0,external_observation,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.9067510084684484,0,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0074,2,CC(C)(c1ccc(OCCOCCOCCOCC2CO2)cc1)c1ccc(OCCOCCOCCOCC2CO2)cc1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.15000:0.85000,surrogate,replacement_surrogate_0074_0|replacement_surrogate_0074_1,aromatic;epoxy;ether|aromatic;ether;primary_amine,0,环氧-伯胺开环固化。,251.4787864650889,88.24239800803096,251.4787864650889,250.0,1.4787864650888878,0.017500000000000154,,0.0,,replacement_surrogate_0074,surrogate,1.0,external_observation,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,0.7439679723310455,0,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0000,2,Cc1ccc(N=C=O)cc1N=C=O|Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,0.35000:0.65000,surrogate,replacement_surrogate_0000_0|replacement_surrogate_0000_1,aromatic;isocyanate|aromatic;primary_amine,0,异氰酸酯-伯胺形成聚脲。,252.14572004407407,95.27024262999537,252.14572004407407,250.0,2.145720044074068,1.3795000000000002,,0.0,,replacement_surrogate_0000,surrogate,1.0,external_observation,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,0.6510661631631056,0,True,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0063,2,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|Nc1ccc(Oc2ccc(N)cc2)cc1,0.35000:0.65000,surrogate,replacement_surrogate_0063_0|replacement_surrogate_0063_1,aromatic;epoxy;ether|aromatic;ether;primary_amine,0,环氧-伯胺开环固化。,246.9178456617746,53.188123044119614,246.9178456617746,250.0,3.0821543382253935,1.1315000000000002,,0.0,,replacement_surrogate_0063,surrogate,1.0,external_observation,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.5398678629300132,0,,,,,,,,,,,,,,,,,,,,,,,,,
208,2,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|O=C1NC(=O)c2ccc(I)cc2/C1=C/NCc1ccc(-c2ccoc2)c(O)c1,0.85000:0.15000,library|chembl,library_158|chembl_scan_444,aromatic;imide;maleimide;vinyl|aromatic;hydroxyl;imide;phenol;secondary_amine;vinyl,1,马来酰亚胺与烯基共聚/加成。,251.39793020705767,68.45878244983075,251.39793020705767,250.0,1.3979302070576693,2.1615,0.03287772834300995,2.106241464614868,2.6342416666627173,surrogate_round_1,surrogate,1.0,surrogate_selected,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,True,False,True,False,0.7560966693916588,1,,True,,,1.0,target_guard_ids_min_regret2_over_information,True,True,5.0,5.0,5.0,target_distance_c <= 5,,,,,,,,,,,,,
211,4,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1|O=C(O)C(=O)Nc1nc(-c2cc(Cl)no2)cs1|Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.06325:0.08981:0.31540:0.53154,library|library|chembl|chembl,library_19|library_202|chembl_scan_55|chembl_scan_71,anhydride;aromatic;ester;ether|aromatic;ether;primary_amine|aromatic;carboxylic_acid;hydroxyl;secondary_amine|aromatic;ether;hydroxyl;phenol,2,酸酐-羟基酯化。|酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,249.17041706847635,72.59246883341889,249.17041706847635,250.0,0.829582931523646,2.508,0.0376681387424469,2.4131288528442383,1.8169261600242617,surrogate_round_2,surrogate,1.0,surrogate_selected,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,True,False,True,True,0.8471168923927486,2,,,,,2.0,target_guard_ids_min_regret2_over_information,True,True,5.0,11.0,11.0,target_distance_c <= 5,,,True,,,,,,True,,,,
225,3,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21|Oc1ccc(/N=C(/Cc2ccc(Cl)cc2)c2ccc(O)c(O)c2O)cc1|c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,0.12116:0.72843:0.15041,chembl|chembl|library,chembl_scan_278|chembl_scan_18|library_45,aromatic;hydroxyl;imide;maleimide;phenol;secondary_amine;vinyl|aromatic;hydroxyl;phenol|aromatic;epoxy;ether,2,环氧-羟基醚化，常需催化剂。,249.47021125040357,111.22817915878575,249.47021125040357,250.0,0.5297887495964346,2.1615,0.048707738518714905,3.1203572750091553,4.587204545376783,surrogate_round_3,surrogate,1.0,surrogate_selected,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,True,False,True,True,0.8994626496426795,3,,,,,3.0,target_guard_ids_min_regret2_over_information,True,True,5.0,9.0,9.0,target_distance_c <= 5,,,,,,True,,,,,,,
131,3,Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1|O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Oc1ccc(/N=C(/Cc2ccc(Cl)cc2)c2ccc(O)c(O)c2O)cc1,0.12557:0.15224:0.72219,library|library|chembl,library_141|library_145|chembl_scan_18,aromatic;ether;primary_amine|anhydride;aromatic;ester;ether|aromatic;hydroxyl;phenol,1,酸酐-羟基酯化。|酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,249.634744891289,100.45159714155427,249.634744891289,250.0,0.3652551087110112,2.2055000000000002,0.035878706723451614,2.298492908477783,3.5680234551714913,surrogate_round_4,surrogate,1.0,surrogate_selected,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,True,False,True,True,0.9295534013818485,4,,,,,4.0,target_guard_ids_min_regret2_over_information,True,True,5.0,12.0,12.0,target_distance_c <= 5,,,True,,,,,,True,,,,
84,2,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl,0.81538:0.18462,library|chembl,library_100|chembl_scan_48,aromatic;epoxy;ether;vinyl|aromatic;ether;hydroxyl;nitrile;secondary_amine,1,环氧-羟基醚化，常需催化剂。,249.90122671774714,62.43351310658587,249.90122671774714,250.0,0.09877328225286419,1.1315000000000002,0.04512178525328636,2.8906309604644775,2.8961049048105827,surrogate_round_5,surrogate,1.0,surrogate_selected,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,True,False,True,False,0.9804391882315944,5,,,,,5.0,target_guard_ids_min_regret2_over_information,True,True,5.0,14.0,14.0,target_distance_c <= 5,,,,,,True,,,,,,,
177,3,COc1c(O)cc(O)c(C(=N)Cc2ccc(O)cc2)c1O|Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1|Cc1ccc(C(N)=O)cc1Nc1ncnc2c1cnn2-c1ccccc1,0.10478:0.53188:0.36334,chembl|library|chembl,chembl_scan_3|library_65|chembl_scan_226,aromatic;ether;hydroxyl;phenol|aromatic;epoxy;ether|aromatic;primary_amine;secondary_amine,2,环氧-伯胺开环固化。|环氧-羟基醚化，常需催化剂。,249.8567648485901,72.66474956947852,249.8567648485901,250.0,0.14323515140989684,1.3625000000000003,0.04385043680667877,2.8091847896575928,3.056334801958765,surrogate_round_6,surrogate,1.0,surrogate_selected,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,0.9717594055825022,6,,,,,6.0,target_guard_ids_min_regret2_over_information,True,True,5.0,13.0,13.0,target_distance_c <= 5,,,,,,True,,,,,,,
