formula_id,n_components,smiles,ratios,sources,labels,groups,new_component_count,compatibility_reasons,predicted_tg_mean_c,predicted_tg_sigma_c,observed_tg_c,target_tg_c,target_distance_c,prior_score,ood_distance,ood_penalty,agent_score,observation_id,observation_source_type,authority_weight,evidence_role,feature_aromatic_backbone,feature_rigid_multi_aromatic,feature_imide_or_anhydride,feature_cyanate_ester,feature_maleimide,feature_nitrile_rich,feature_sulfone_linker,feature_fluorinated_rigid_linker,feature_high_functionality,feature_flexible_ether_risk,feature_long_aliphatic_risk,feature_peg_like_risk,feature_peptide_like_risk,feature_too_flexible_risk,feature_too_large_risk,feature_heavy_halogen_risk,feature_stereochemical_complexity_risk,feature_druglike_hetero_complexity_risk,feature_formal_charge_practical_risk,feature_reaction::氰酸酯-胺共反应。,feature_contains_out_of_library,feature_contains_generated,feature_contains_chembl,feature_three_or_more_component_blending,environment_reward,pievo_round,feature_reaction::马来酰亚胺-胺 Michael 加成。,feature_reaction::环氧-伯胺开环固化。,feature_reaction::马来酰亚胺与烯基共聚/加成。,feature_reaction::环氧-羧酸开环酯化。,feature_reaction::异氰酸酯-伯胺形成聚脲。,feature_reaction::酸酐-胺开环形成酰胺酸。,feature_reaction::氰酸酯-酚共固化/催化三聚。,feature_reaction::酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,feature_reaction::环氧-仲胺开环固化。,feature_reaction::环氧-羟基醚化，常需催化剂。,feature_reaction::马来酰亚胺-硫醇 Michael 加成。,round,pievo_selection_method,pievo_target_guard_enabled,pievo_target_guard_active,pievo_target_guard_max_distance_c,pievo_target_guard_candidate_count,pievo_selection_pool_size,pievo_selection_pool_reason,pievo_ensemble_disagreement_guard_enabled,pievo_ensemble_disagreement_guard_active,pievo_ensemble_disagreement_guard_max_std_c,pievo_ensemble_disagreement_guard_candidate_count,pievo_ensemble_disagreement_guard_missing_count,pievo_ensemble_disagreement_guard_reason,feature_reaction::异氰酸酯-羟基形成聚氨酯。,feature_reaction::氰酸酯三聚形成三嗪网络。,feature_reaction::环氧-酸酐固化，常需催化剂。,feature_reaction::酸酐-羟基酯化。,feature_reaction::异氰酸酯-仲胺形成脲键。,feature_reaction::硫醇-烯点击反应。
replacement_surrogate_0177,2,N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1|Nc1ccc(Cc2ccc(N)cc2)cc1,0.90000:0.10000,surrogate,replacement_surrogate_0177_0|replacement_surrogate_0177_1,aromatic;cyanate_ester;ether;nitrile|aromatic;primary_amine,0,氰酸酯-胺共反应。,195.2004599427479,37.34403602198986,195.2004599427479,195.0,0.2004599427478979,1.6400000000000001,,0.0,,replacement_surrogate_0177,surrogate,1.0,external_observation,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0.9607010615902885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0175,2,N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1,0.90000:0.10000,surrogate,replacement_surrogate_0175_0|replacement_surrogate_0175_1,aromatic;cyanate_ester;ether;nitrile|aromatic;ether;primary_amine,0,氰酸酯-胺共反应。,194.62675651389424,37.489550893072206,194.62675651389424,195.0,0.3732434861057641,1.6400000000000001,,0.0,,replacement_surrogate_0175,surrogate,1.0,external_observation,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0.9280694624481634,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0063,2,Nc1ccc(-c2ccc(N)cc2)cc1|O=C1C=CC(=O)N1c1ccccc1N1C(=O)C=CC1=O,0.55000:0.45000,surrogate,replacement_surrogate_0063_0|replacement_surrogate_0063_1,aromatic;primary_amine|aromatic;imide;maleimide;vinyl,0,马来酰亚胺-胺 Michael 加成。,195.4722136422204,70.25119156721226,195.4722136422204,195.0,0.47221364222039597,2.4095,,0.0,,replacement_surrogate_0063,surrogate,1.0,external_observation,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,0.9098798433681721,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0055,2,N#COc1ccc(C(F)(F)c2ccc(OC#N)cc2)cc1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.20000:0.80000,surrogate,replacement_surrogate_0055_0|replacement_surrogate_0055_1,aromatic;cyanate_ester;ether;nitrile|aromatic;ether;primary_amine,0,氰酸酯-胺共反应。,194.4771576858765,96.18524581928328,194.4771576858765,195.0,0.5228423141234941,2.1670000000000003,,0.0,,replacement_surrogate_0055,surrogate,1.0,external_observation,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9007131299308241,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0035,2,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1(C)CC(N)CC(C)(CN)C1,0.70000:0.30000,surrogate,replacement_surrogate_0035_0|replacement_surrogate_0035_1,aromatic;epoxy;ether;vinyl|primary_amine,0,环氧-伯胺开环固化。,195.5690184359816,37.692848373878284,195.5690184359816,195.0,0.5690184359816044,0.8525,,0.0,,replacement_surrogate_0035,surrogate,1.0,external_observation,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,,False,False,False,False,0.8924331347376961,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0010,2,C=C(C)C(=O)OCCOc1ccccc1|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000,surrogate,replacement_surrogate_0010_0|replacement_surrogate_0010_1,aromatic;ester;ether;vinyl|aromatic;imide;maleimide;vinyl,0,马来酰亚胺与烯基共聚/加成。,195.5946019533614,73.07373295608497,195.5946019533614,195.0,0.5946019533614049,2.4095,,0.0,,replacement_surrogate_0010,surrogate,1.0,external_observation,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,0.8878784813574925,0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0136,2,CC(C)(C1CCC(OCC2CO2)CC1)C1CCC(OCC2CO2)CC1|N=C(N)N1CCC[C@H]1Cc1nc(-c2ccc(Nc3nc(-c4cc(C(F)(F)F)ccc4F)cs3)cc2)no1,0.55000:0.45000,surrogate,replacement_surrogate_0136_0|replacement_surrogate_0136_1,epoxy;ether|aromatic;primary_amine;secondary_amine,0,环氧-伯胺开环固化。,195.6624548438608,117.03350527596396,195.6624548438608,195.0,0.662454843860786,0.16849999999999996,,0.0,,replacement_surrogate_0136,surrogate,1.0,external_observation,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,,False,False,False,False,0.8759108446208901,0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0014,2,C=C(C)C(=O)OC(C)(C)C|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000,surrogate,replacement_surrogate_0014_0|replacement_surrogate_0014_1,ester;ether;vinyl|aromatic;imide;maleimide;vinyl,0,马来酰亚胺与烯基共聚/加成。,195.688746304156,73.87406400536577,195.688746304156,195.0,0.6887463041560125,2.4095,,0.0,,replacement_surrogate_0014,surrogate,1.0,external_observation,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,0.8713171376930404,0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0049,2,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|O=C(O)CS,0.35000:0.65000,surrogate,replacement_surrogate_0049_0|replacement_surrogate_0049_1,aromatic;epoxy;ether|carboxylic_acid;hydroxyl;thiol,0,环氧-羧酸开环酯化。,195.72079701466947,62.52793981067184,195.72079701466947,195.0,0.720797014669472,1.1315000000000002,,0.0,,replacement_surrogate_0049,surrogate,1.0,external_observation,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,0.8657497340119554,0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement_surrogate_0115,2,CC1(C)CC(N)CC(C)(CN)C1|O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0.50000:0.50000,surrogate,replacement_surrogate_0115_0|replacement_surrogate_0115_1,primary_amine|aromatic;isocyanate,0,异氰酸酯-伯胺形成聚脲。,194.0782066429732,48.12142957874608,194.0782066429732,195.0,0.921793357026786,0.8525,,0.0,,replacement_surrogate_0115,surrogate,1.0,external_observation,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,,False,False,False,False,0.8316374657486134,0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
