smiles_a,smiles_b,groups_a,groups_b,compatibility_reason,ratio_a,ratio_b,predicted_tg,target_distance,in_target_range,base_distance,loop_score,iteration
Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Cc1ccc(N=C=O)cc1N=C=O,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,0.65,0.35,194.99681974863265,0.003180251367354,True,0.0031802513673540034,0.0031802513673540034,1
C=CC(=O)OCCOCCOc1ccccc1,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,aromatic;ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,0.3,0.7,195.005365464446,0.0053654644459584,True,0.005365464445986845,0.005365464445986845,1
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,0.1,0.9,194.99270136027468,0.0072986397253202,True,0.0072986397253202995,0.0072986397253202995,1
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,CC1(C)CC(CN)CC(C)(N)C1,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,0.7,0.3,195.0074809970216,0.0074809970215881,True,0.007480997021588109,0.007480997021588109,1
Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,OCCOCCO,aromatic;epoxy;ether,ether;hydroxyl,环氧-羟基醚化，常需催化剂。,0.35,0.65,195.01964735721148,0.0196473572114825,True,0.019647357211482586,0.019647357211482586,1
Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,aromatic;ether;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,0.8,0.1999999999999999,195.02246564460987,0.0224656446098663,True,0.02246564460986633,0.02246564460986633,1
CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;cyanate_ester;ether;nitrile,aromatic;primary_amine,氰酸酯-胺共反应。,0.45,0.55,194.9718692273616,0.0281307726383772,True,0.028130772638405688,0.028130772638405688,1
CCC(CO)(CO)CO,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,hydroxyl,anhydride;aromatic;ester;ether,酸酐-羟基酯化。,0.4,0.6,194.97172510691192,0.0282748930880814,True,0.0282748930880814,0.0282748930880814,1
Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,aromatic;ether;primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.45,0.55,194.9706255175603,0.0293744824396924,True,0.02937448243969243,0.02937448243969243,1
Nc1ccc(Cc2ccc(N)cc2)cc1,COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,aromatic;primary_amine,aromatic;epoxy;ester;ether,环氧-伯胺开环固化。,0.8,0.1999999999999999,194.9680933755005,0.0319066244994985,True,0.03190662449949855,0.03190662449949855,1
Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,0.35,0.65,195.03353555451383,0.0335355545138327,True,0.03353555451383272,0.03353555451383272,1
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,CC1(C)CC(CN)CC(C)(N)C1,aromatic;isocyanate,primary_amine,异氰酸酯-伯胺形成聚脲。,0.5,0.5,194.96602828161116,0.0339717183888694,True,0.033971718388841055,0.033971718388841055,1
CC(C)(COCC1CO1)COCC1CO1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,0.15,0.85,194.95952419286985,0.0404758071301785,True,0.04047580713015009,0.04047580713015009,1
CC(C)(C1CCC(OCC2CO2)CC1)C1CCC(OCC2CO2)CC1,O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,epoxy;ether,aromatic;ether;hydroxyl;phenol,环氧-羟基醚化，常需催化剂。,0.55,0.4499999999999999,194.95941713278893,0.0405828672110715,True,0.040582867211071516,0.040582867211071516,1
O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1,Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,0.45,0.55,194.9569816362589,0.0430183637411403,True,0.0430183637411119,0.0430183637411119,1
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.8,0.1999999999999999,194.9547346440699,0.0452653559300983,True,0.045265355930098394,0.045265355930098394,1
CCCCC1OC1CCCCC1OC1CCCCCCCC(=O)Oc1ccccc1,CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,aromatic;epoxy;ester;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,0.1,0.9,194.9547102397765,0.0452897602235395,True,0.045289760223511166,0.045289760223511166,1
