smiles_a,smiles_b,groups_a,groups_b,compatibility_reason
C=CC(=O)OCCOCCOC(=O)C=C,CC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,ester;ether;vinyl,ester;ether;thiol,硫醇-烯点击反应。
C=CC(=O)OCCOCCOC(=O)C=C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,ester;ether;vinyl,ester;ether;secondary_amine;thiol;vinyl,硫醇-烯点击反应。
C=CC(=O)OCCOCCOC(=O)C=C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,ester;ether;vinyl,aromatic;thiol,硫醇-烯点击反应。
C=CC(=O)OCCOCCOC(=O)C=C,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,ester;ether;vinyl,ester;ether;thiol,硫醇-烯点击反应。
C=CC(=O)OCCOCCOC(=O)C=C,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。
C=CC(=O)OCCOCCOC(=O)C=C,O=C(CCS)OCCC(COC(=O)CCS)(COC(=O)CCS)OC(=O)CCS,ester;ether;vinyl,ester;ether;thiol,硫醇-烯点击反应。
C=CC(=O)OCCOCCOC(=O)C=C,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。
C=CC(=O)OCCOCCOC(=O)C=C,O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。
C=CC(=O)OC(C)(C)C,CC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,ester;ether;vinyl,ester;ether;thiol,硫醇-烯点击反应。
C=CC(=O)OC(C)(C)C,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,ester;ether;vinyl,ester;ether;secondary_amine;thiol;vinyl,硫醇-烯点击反应。
C=CC(=O)OC(C)(C)C,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,ester;ether;vinyl,aromatic;thiol,硫醇-烯点击反应。
C=CC(=O)OC(C)(C)C,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,ester;ether;vinyl,ester;ether;thiol,硫醇-烯点击反应。
C=CC(=O)OC(C)(C)C,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。
C=CC(=O)OC(C)(C)C,O=C(CCS)OCCC(COC(=O)CCS)(COC(=O)CCS)OC(=O)CCS,ester;ether;vinyl,ester;ether;thiol,硫醇-烯点击反应。
C=CC(=O)OC(C)(C)C,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。
