row_index,author,no,names,smiles,ratios,tg,n_monomers
0,Warren 2010,1,DEGDA,C=CC(=O)OCCOCCOC(=O)C=C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.06266000:0.93210000:0.00524000,66.0,3
1,,2,DEGDMA【Averaged from Warren 2010 (74.0C) and Ortega 2008 (72.8C) for the identical 10wt% DEGDMA recipe to eliminate experimental random noise】,C=C(C)C(=O)OCCOCCOC(=O)C(=C)C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.05581000:0.93891000:0.00528000,73.4,3
2,,3,PEGDA-2,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.04523000:0.94944000:0.00533000,60.0,3
3,,4,PEGDA-4,C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.02667000:0.96789000:0.00544000,52.0,3
4,,5,PEGDMA,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.04155000:0.95310000:0.00535000,65.0,3
5,"Lakhera et al., 2012",1,10wt%  XLS,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOC(=O)C(=C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.96493900:0.01703500:0.01748900:0.00053700,53.31,4
6,,2,20wt%  XLS,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOC(=O)C(=C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.92495100:0.03674600:0.03772400:0.00057900,53.35,4
7,,3,30wt%  XLS,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOC(=O)C(=C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.82262200:0.08718500:0.08950600:0.00068700,57.11,4
8,"Wu et al., 2016",,,c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1|Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.66667000:0.33333000,170.0,2
9,"Santiago et al., 2016b",1,90-10-FG,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.67746000:0.31429000:0.00825000,60.0,3
