ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (16) + SVR,16,paper,joblib,artifacts/reproduce/predictors/latent_16/svr_latent_16.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (16) + RF,16,paper,joblib,artifacts/reproduce/predictors/latent_16/rf_latent_16.joblib,80.52631578947368,52.94117647058824,18.588471667622063,157.34198063783725,2.3312512229531133,6.448846286875925,8.94078776777829,28.769049495985335,14.064859921160979,51.504292430872546,0.9699269243529763,0.7134119722619876
VAE (16) + CNN,16,paper,torch_cnn,artifacts/reproduce/predictors/latent_16/cnn_latent_16.pt,14.736842105263156,13.23529411764706,99.30480438138372,559.5529649391362,14.906208973243073,16.09446703659882,62.01509145184567,72.26360008558807,82.9958508998165,100.2173586875006,-0.047176241874694824,-0.08506834506988525
VAE (16) + LinearRegression,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_linearregression_latent_16.joblib,27.368421052631582,26.47058823529412,68.65404937333392,342.07626774581246,9.608291556522017,10.416800478396418,37.578854735274064,42.89066696429954,48.00710626319985,59.073700807650965,0.6496371626853943,0.6229841709136963
VAE (16) + Ridge_alpha_0.1,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_ridge_alpha_0.1_latent_16.joblib,25.526315789473685,23.52941176470588,65.13667349513037,323.2377486265806,9.642240662535777,10.99042378635023,37.84078120181435,45.66575700044632,49.01027096369813,61.49835035641333,0.6348416805267334,0.5914002060890198
VAE (16) + Ridge_alpha_1,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_ridge_alpha_1_latent_16.joblib,25.789473684210527,20.588235294117645,67.39189144026474,335.7228651761799,10.175555680338858,11.866803689057198,40.02355857664033,49.951168076956975,50.810571309459895,66.9622200963586,0.6075221300125122,0.5155701637268066
VAE (16) + Ridge_alpha_10,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_ridge_alpha_10_latent_16.joblib,22.894736842105264,17.647058823529413,81.37774651116383,419.4178289670406,11.621152035842787,14.11253681873727,45.738971045142726,60.05067249168368,58.4283551716105,77.71467449292248,0.48101550340652466,0.3475049138069153
VAE (16) + Lasso_alpha_0.001,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_lasso_alpha_0.001_latent_16.joblib,27.89473684210526,19.11764705882353,68.16272556005485,425.45113469873525,10.173629016381017,12.070635055232355,40.09339720575433,50.86507437071379,51.71050660476507,68.3265973657913,0.5934962630271912,0.4956282377243042
VAE (16) + ElasticNet_alpha_0.001_l1_0.2,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_elasticnet_alpha_0.001_l1_0.2_latent_16.joblib,26.31578947368421,19.11764705882353,66.07821678038917,350.5266321707469,9.941243878591377,11.587024640996512,39.122004838993675,48.57612207619583,50.13932406781232,65.21114691898322,0.6178235411643982,0.5405747294425964
VAE (16) + ElasticNet_alpha_0.01_l1_0.5,16,model_zoo,joblib,artifacts/reproduce/predictors/latent_16/zoo_elasticnet_alpha_0.01_l1_0.5_latent_16.joblib,18.947368421052634,16.176470588235293,90.85348979909692,467.47637513212703,12.730123574015723,15.089561561018114,50.09935160938062,64.28329514317653,63.408390702647,82.49078949605621,0.38877588510513306,0.2648395299911499
