smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
C=CC(=O)OCCOCCOC(=O)C=C,-0.00012474813,-0.00017759879,0.0003185263,0.00012054085,-5.7247933e-05,0.0005397784,2.0326115e-06,0.00028948556,-2.5935471e-05,0.00011674175,2.1920801e-05,-0.0002625435,0.00013242522,0.0001555811,-2.999208e-05,0.00017671753
C=CC(=O)OC(C)(C)C,-0.00016445786,-0.00028116838,0.00024406519,0.000322085,-5.1190844e-05,0.00057433755,-3.4119003e-06,0.00031575153,4.748162e-05,0.00013941294,4.4700748e-05,-0.000243977,0.00017081993,0.0001915918,-7.743761e-05,8.604489e-05
COC(OC)(C(=O)c1ccccc1)c1ccccc1,-0.00012056215,-0.00054598623,3.7345104e-05,0.00053798937,-1.6179634e-05,0.00080001005,-0.00012498815,0.00026506057,0.00015591737,7.533934e-05,-6.633316e-05,-0.00016137285,0.00017087162,0.0003230325,-1.869793e-05,-9.752717e-05
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,-7.9814345e-05,-0.00019986206,0.00026678853,3.6473386e-05,1.4064601e-05,0.00051499705,-5.315477e-05,0.0002655727,-0.00010307599,0.000156058,-6.252568e-05,-0.00020494859,0.00012257649,5.6469988e-05,-1.2242235e-05,0.00012970902
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,-7.5265445e-05,-0.00010288763,0.0002883803,6.243063e-05,-2.439064e-05,0.00046306764,3.1650998e-06,0.00023561053,-6.7779794e-05,0.000104553066,4.794041e-06,-0.00026029738,8.147303e-05,3.825786e-05,-3.157812e-05,9.900611e-05
C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,-5.308952e-05,0.00016890117,0.00042956136,-0.00013978302,-9.804964e-06,3.6549958e-05,4.3671113e-05,5.139131e-05,-0.00010845065,4.0636864e-05,7.565794e-05,-0.00031646778,-4.7139823e-05,-0.00017701954,-0.00010932353,0.00019654399
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,-0.00011865451,-9.60629e-05,0.0003163116,-1.8859864e-05,3.1311996e-05,0.00045883242,-3.471505e-05,0.00017568737,-0.00013276841,0.0001352732,-6.40981e-05,-0.00023681391,6.0835388e-05,-2.8251496e-05,-6.461283e-06,0.00012775278
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,-9.242902e-05,0.00010367017,0.00042157993,-0.00013204955,3.281189e-05,2.6482448e-06,3.5752542e-05,5.584734e-05,-5.9055164e-05,7.793866e-05,5.3821394e-05,-0.00020162947,2.0903535e-06,-0.00017981968,-0.00012387917,0.00019942457
c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,6.343628e-05,-0.0002693229,0.00024162699,0.00018434651,7.4982876e-05,4.8685877e-05,-8.7004155e-05,-0.00017472962,0.00028913282,0.00010842411,-0.00010758202,9.809552e-05,-6.3760206e-05,-8.056458e-05,-5.732593e-05,-0.00017716782
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-6.9613976e-05,-0.00051091635,6.235484e-05,0.0004841037,2.3173867e-05,0.0007725911,-0.00016816799,0.00018929597,3.1352974e-05,0.00017580297,-0.00013811077,-0.00025743508,0.00012632972,0.00037800142,2.0305393e-05,-4.0797517e-05
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-0.00016755026,-0.00041089742,0.0002781367,0.00035601167,2.682698e-05,0.0006236893,-9.796815e-05,0.00010063138,8.0018304e-05,0.00012959586,-5.686126e-05,-0.00028186664,6.022025e-05,0.00013414602,-8.147932e-05,3.8196333e-05
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,-0.000261355,-0.00011843373,0.0002999315,1.7901184e-06,9.5923664e-05,0.0002581149,-7.809186e-05,8.323346e-06,-3.912393e-05,0.000119009055,5.7448226e-05,-0.00040078105,-2.6496127e-07,4.5922294e-05,-2.9976945e-06,0.00012408989
NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,-9.8050834e-05,-0.00010217843,0.00032743625,-2.9229093e-05,7.5307675e-05,0.0003263575,-0.00014033448,9.174005e-05,-8.098874e-05,0.0001031775,6.582821e-06,-0.0003492257,-1.7471611e-05,-5.4090633e-06,-7.011648e-05,7.289648e-05
CC(N)COCC(C)OCC(C)OCC(C)N,-0.00017295437,-0.0003377914,0.00014286302,0.00024677516,7.2498806e-06,0.0005616088,-0.00012813509,0.00025453977,7.9496764e-05,0.00013219519,4.511539e-05,-0.00031631923,0.0001910883,0.00024013798,4.290603e-06,7.045688e-05
CCCCCCCCCCN,-0.00022375671,-0.00019620243,4.359521e-06,0.00036161568,-7.715146e-05,0.0005147484,0.00010908861,0.0003761117,9.412132e-05,-2.280157e-05,2.7731265e-05,-0.0001988298,0.0002159588,0.0001783063,-6.9033355e-05,-1.3676472e-06
CC(C)(COCC1CO1)COCC1CO1,-0.00013532076,-0.00021418906,0.00014753081,0.00026374846,-2.8100563e-05,0.000538907,3.2215845e-05,0.0003129947,1.4523976e-05,4.3597538e-05,9.624055e-06,-0.00028741156,0.00014145719,0.00014666934,-6.788899e-05,1.8214341e-05
CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN,-0.00016282563,-0.00017034565,0.00026969053,7.767137e-05,7.00939e-05,0.00035182334,-7.06478e-05,9.825255e-05,-8.052401e-05,9.0638176e-05,3.300709e-05,-0.00033699267,3.9171427e-05,4.2786123e-05,2.0832289e-05,6.0994644e-05
CC(N)COCC(C)COC(OCC(C)COCC(C)N)OCC(C)COCC(C)N,-0.00014512465,-8.711708e-05,0.00036247168,-1.1797412e-05,0.00010615331,0.0002633786,-0.00010966975,1.2563309e-05,-6.235484e-05,0.000117442105,5.190441e-05,-0.00033948087,-9.866431e-06,-8.637784e-06,-3.472087e-05,8.532265e-05
CC(N)COCC(C)COCC(C)CN,-0.00016436103,-0.00032147043,0.00016399566,0.00028363103,-4.3669716e-06,0.0005405803,-7.4476935e-05,0.00028397387,7.42916e-05,9.8366756e-05,5.6217366e-05,-0.00029459142,0.00019916194,0.00019665243,-1.23917125e-05,7.9878606e-05
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,-1.2790173e-05,-7.1595423e-06,0.0005185781,-0.00014703686,0.000256869,-5.743481e-05,-0.0003031497,-0.0002293979,0.00029480085,0.00016298331,0.00014278552,2.1811073e-05,-4.0257815e-05,-0.0002543648,-2.0010164e-05,-0.00028236397
Nc1ccc(Oc2ccc(N)cc2)cc1,-0.00011578784,-0.0005936872,0.00021460373,0.0005400376,-6.3728774e-05,0.0008065328,-0.00016877055,0.0002840096,0.00020675547,9.724172e-05,-5.9937593e-06,-0.00025343103,0.0001590061,0.00042241003,-2.7544098e-05,-5.5679586e-05
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,-0.00016500597,-0.00082508917,0.0001619095,0.0006479563,6.3107815e-05,0.0009961285,-0.00033528358,7.785484e-05,0.00019806437,0.00017754827,-0.00021719123,-0.00021925208,7.423852e-05,0.00041464885,-5.935342e-05,7.0780516e-08
CC(C)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,-1.4691032e-06,-0.00032931496,0.00023600459,0.00034235552,0.00011839694,0.000127028,-9.7418204e-05,-0.00016595866,0.00033284444,0.00013854122,-6.764516e-05,-5.353093e-05,-5.4870266e-05,2.9511342e-05,-0.00013695029,-0.0002737362
CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,-0.00010168285,0.000534541,0.00058527756,-0.00080041366,0.00040888297,-0.00059224886,-0.0004214188,-0.00027310115,-9.623822e-05,0.00021647895,0.0004611216,-0.00038374856,2.7147122e-05,-0.00028911937,0.00029716594,0.00020734733
NCCOCCOCCN,-0.0001704598,-0.00014999439,5.4315664e-05,0.000276035,-8.294359e-05,0.00045493405,4.6622474e-05,0.00031982502,7.552747e-05,-5.518086e-07,4.236118e-05,-0.00023224752,0.00017259642,0.0001297142,-4.0377723e-05,4.409207e-05
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN,-3.5341072e-05,5.4958975e-05,0.00014656316,8.271425e-06,-4.1018706e-05,0.00015971399,4.8914924e-05,0.00018581806,-0.0001031002,-8.019619e-05,5.233282e-05,-0.00022229727,2.2873748e-05,-9.0899295e-05,-1.535099e-05,4.096562e-05
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N,8.538918e-06,0.00034788204,0.00027968455,-0.00024765276,-6.8033114e-06,-0.0002831171,1.1670403e-05,2.8793933e-05,-0.0001726523,-6.741844e-05,0.00016980644,-0.00023168977,-2.5331974e-07,-0.00018375038,1.5492551e-06,0.00013982225
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.0027248538,0.0013535831,0.0018572304,-0.0018778901,0.0003306123,-0.002125571,0.00032867817,0.0006461507,0.000701149,-0.0010198765,0.0029352813,-0.00037935184,0.0011829622,0.00042298745,-0.0011823226,0.0023768716
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.0022849757,0.0015291409,0.0015740925,-0.0017149294,-8.855155e-05,-0.0021072482,7.1575865e-05,0.00056298566,0.00042756554,-0.0010309643,0.0023802496,-0.00016385302,0.0006479183,0.0002358086,-0.00048984727,0.002013402
NCCCOCCOCCCN,-0.00017837834,-0.0001438267,3.7639402e-05,0.0002923074,-5.8902893e-05,0.00045845046,6.1449595e-05,0.0003199696,3.09702e-05,-4.1054096e-05,4.3832988e-05,-0.00024837704,0.0001574317,0.00013398303,-6.945431e-05,8.184928e-06
CC(C)(C)N,-0.00019675343,-0.0002838627,-2.5593676e-05,0.0003780799,-9.588455e-05,0.0005521,4.7908165e-05,0.00039447425,5.5492856e-05,2.3621134e-05,3.7777092e-05,-0.00020439154,0.0001968923,0.00024239457,-5.001109e-05,-2.6452355e-05
CCCCN,-0.00018759212,-0.00024724728,-0.00010464247,0.00036684767,-0.00011478271,0.0004799996,4.2635016e-05,0.0004036203,8.200109e-05,-5.044043e-05,6.241005e-05,-0.00018395542,0.00017956737,0.00026358076,-4.6591973e-05,-7.475214e-05
CCCCCCCCCCCCCCCCN,-0.00022626194,-0.00019538612,5.492568e-05,0.0003347806,-9.3363924e-05,0.00049147476,8.171657e-05,0.00033878675,0.00013576169,-1.2889504e-06,7.076582e-05,-0.00019355817,0.00023007533,0.0001693957,-6.156298e-05,3.8616825e-05
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.0042144717,0.0019336978,0.0043976577,-0.0018401995,-0.0012944354,-0.0025870684,0.0003402927,0.0011568037,0.00039110426,0.0015340457,0.0032990566,-0.0034346841,0.00036360836,-0.0007642417,-0.002209819,0.0038845874
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.0042144717,0.0019336978,0.0043976577,-0.0018401995,-0.0012944354,-0.0025870684,0.0003402927,0.0011568037,0.00039110426,0.0015340457,0.0032990566,-0.0034346841,0.00036360836,-0.0007642417,-0.002209819,0.0038845874
CC(N)COC(C)COCC(C)(COCC(C)OCC(C)N)COCC(C)OCC(C)N,-0.00016442995,-1.1814758e-05,0.00033273455,-4.9935188e-05,0.000120697776,0.00025824006,-4.523713e-05,-9.166426e-06,-6.6326e-05,7.1171205e-05,7.495456e-05,-0.00028598495,-5.0244387e-05,-3.9684586e-05,5.1692943e-05,6.367266e-05
CC(N)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCC(C)(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.004562431,0.0019475124,0.004753909,-0.0018379643,-0.0013147661,-0.0034305472,-0.00010538567,0.0013453995,0.00076006074,0.0016254438,0.0033628354,-0.003172102,0.00066848425,-0.001383086,-0.0019692844,0.00351125
