smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31
C=CC(=O)OCCOCCOC(=O)C=C,0.000119934324,0.00052536745,5.0779432e-05,-4.619267e-05,-0.00069334265,-0.00048521254,2.2720546e-05,0.0001535993,0.00018941588,0.00052715,-0.000746117,0.00019580033,-0.00016035605,-0.0001373128,0.00062162336,0.000243939,0.00021690689,0.0004432113,-8.15962e-05,6.7263376e-05,-0.00014924316,-0.0006226265,-0.00042451546,4.4424087e-05,-0.00028204126,-4.62709e-05,0.00010653492,0.00013140682,7.8832265e-05,-0.00030008052,0.00036050193,-2.6088208e-05
C=CC(=O)OC(C)(C)C,7.328531e-05,0.0005886238,3.2289885e-05,-4.186947e-05,-0.00073789293,-0.0005322341,-1.0300428e-06,0.00019665156,0.00020949193,0.00057762396,-0.0009245118,0.00019272417,-0.00020945538,-0.0001671547,0.0006058458,0.00037183193,0.0002473914,0.0006582353,1.7343787e-05,0.00018218206,-0.00013986498,-0.00068898674,-0.00048571592,1.0424294e-05,-0.00022515422,-5.9647486e-05,2.7213246e-05,0.00015263166,0.000112193404,-0.00038587768,0.00037477538,0.000120726414
COC(OC)(C(=O)c1ccccc1)c1ccccc1,-4.9751718e-05,0.00083591975,7.5279735e-05,-0.00018402096,-0.00047971774,-0.0003099218,0.000114065595,0.000101447105,0.00021557393,0.0005757748,-0.0009699501,0.0002353182,-0.00017763721,-0.00020092865,0.00072739646,8.573523e-05,0.00029570935,0.0007433286,-0.00020471704,8.837925e-05,-0.00019718346,-0.0004557902,-0.0007131458,2.4269335e-05,-0.000270091,0.000100863166,0.00017536432,0.00016471138,-2.9841205e-05,-0.00065915845,0.00014946703,-9.910064e-05
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,0.00020827167,0.00040267035,2.7339906e-05,-6.1826315e-05,-0.0006366945,-0.0004595574,0.000100701116,0.0001176903,0.00015790411,0.00057537155,-0.0006640721,0.00016828533,-0.00018371549,-7.805601e-05,0.0005564317,0.00023544021,0.00040422287,0.00052518793,-0.000119021395,4.1786116e-05,-7.311278e-05,-0.000559952,-0.00034548994,5.4668635e-07,-0.00016181823,2.2776425e-05,0.00016305968,4.0569343e-05,2.6195077e-05,-0.0003831163,0.00036381464,-3.7748832e-05
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,0.00013477402,0.00049530156,-5.558133e-06,-3.6866404e-05,-0.0007311376,-0.00044505857,2.433546e-06,-6.15567e-05,0.000226476,0.00058032526,-0.0007680021,0.00014834292,-0.000249777,-0.00011279108,0.00058919564,0.0001790626,0.00035523297,0.00034245732,-0.00018575299,4.0473416e-05,-0.00015843299,-0.0005281881,-0.0003444245,-5.7328492e-05,-0.00029756268,4.9621798e-05,0.00024856627,9.9450815e-05,3.0845404e-05,-0.00045299344,0.00036729965,-1.9404572e-05
C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,-4.228903e-05,0.00033575483,3.1914562e-05,-0.00014259294,-0.0004227031,-0.00048078783,-0.00022599474,-0.00018061418,-5.8282167e-06,0.0003139791,-0.00047000498,0.00021756627,-0.00013172533,-0.00011198642,0.00050094817,7.691188e-05,6.070221e-05,0.00013242499,-3.8133236e-05,2.5876798e-06,-0.00021757965,-0.0003266572,-6.5707136e-05,2.6240014e-05,-0.00011174753,-0.00017926842,8.401554e-05,9.2228875e-05,-0.0001561651,-0.00015846966,0.00024433993,7.8430865e-05
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,0.00013717823,0.00042281765,-5.448889e-05,-0.000106689055,-0.00050246157,-0.00036426075,-1.7523766e-05,-1.5912578e-05,0.00014656759,0.0005131103,-0.0006576581,9.307265e-05,-0.00011609029,-4.0303916e-05,0.0005308371,0.00017513987,0.00035325764,0.00032424438,-0.0001756174,-3.749458e-05,-0.00012574182,-0.0004624445,-0.00023228535,-9.7567216e-05,-0.0001762351,-3.9284118e-05,0.000238901,8.057477e-05,-0.00013354328,-0.0004632282,0.0003124494,-3.2089185e-05
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,-7.022964e-05,0.000113593414,0.00011185277,-0.00021318998,-0.0002936963,-0.0005002441,-0.0001880182,-0.0001289323,-0.000121630495,0.000117646065,-0.0001723459,9.052735e-05,-4.7301874e-06,-0.00010822108,0.00033692922,0.00012660725,3.3974648e-05,0.00012416416,0.0001559367,7.54823e-05,-0.00026478246,-0.00025422615,6.0023274e-05,0.00010517333,-1.1322554e-05,-0.00018117856,0.00010187831,4.6523754e-05,-0.00022970163,-2.7515925e-05,0.00025527924,0.00013178075
c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,-0.00015835324,0.00039739907,-0.00016732607,1.3144687e-05,4.1804742e-05,0.00025736168,9.369943e-05,-0.00023058709,0.00035910937,0.00021998398,-2.7578324e-05,0.00016611535,-9.1305934e-05,-0.00011304533,0.00023779646,-3.1138305e-05,0.00017835386,0.00043180818,0.00016199541,6.0111284e-05,-0.00030904042,0.00034903013,-0.00031992607,-6.65104e-05,0.00016153557,-0.00021804869,7.8180805e-05,0.00010314956,-9.432668e-06,-0.00022063311,-0.00047390535,-7.153116e-05
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,6.626779e-05,0.0005802745,5.843118e-05,-0.0001707836,-0.00044583995,-0.00025771745,0.00016855262,0.00014447514,0.00014536339,0.00050605787,-0.0007976815,0.00012782123,-0.0003256686,-0.00018713204,0.00066322647,0.00027299998,0.00056131976,0.00079762796,-0.00011846493,3.4376048e-05,4.0343497e-05,-0.0004608694,-0.0005803071,9.13823e-05,-0.00019637961,0.00017793477,0.00024003536,6.248942e-05,-7.145177e-05,-0.00068053324,7.411465e-05,-8.2015526e-05
