ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (512) + SVR,512,paper,joblib,artifacts/reproduce/predictors/latent_512/svr_latent_512.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (512) + RF,512,paper,joblib,artifacts/reproduce/predictors/latent_512/rf_latent_512.joblib,85.26315789473684,60.29411764705882,13.966926187327571,256.7650220290701,1.8416075073608615,5.405323988032711,7.1306595592951325,23.614729476128876,10.687203644658464,40.80827754620285,0.9826365830440658,0.8200848555349155
VAE (512) + CNN,512,paper,torch_cnn,artifacts/reproduce/predictors/latent_512/cnn_latent_512.pt,14.210526315789473,4.411764705882353,116.49970353961076,649.8314813290203,16.084923630243594,17.725310245497162,63.96644677362944,75.68950710840085,80.7030736174957,96.5342369810016,0.009881556034088135,-0.006778597831726074
VAE (512) + LinearRegression,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_linearregression_latent_512.joblib,88.94736842105263,55.88235294117647,6.971523332112478,149.54351156034448,1.3403941110635293,44.43062344473903,5.285528182983398,232.25529480418737,8.500150597826266,1136.1793842001819,0.9890159964561462,-138.46493530273438
VAE (512) + Ridge_alpha_0.1,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_ridge_alpha_0.1_latent_512.joblib,59.73684210526316,42.64705882352941,24.15378035726589,215.6535706522547,4.061869931923152,6.670987401270306,15.756996571390252,28.9136736419271,20.426883008071034,46.34207255002444,0.9365676045417786,0.767981767654419
VAE (512) + Ridge_alpha_1,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_ridge_alpha_1_latent_512.joblib,42.89473684210526,35.294117647058826,38.00742192641955,297.551645939132,6.043518923470947,8.065024188153329,23.916199943266417,34.10679894598091,30.82835032929101,50.27550229917828,0.8555200695991516,0.7269237041473389
VAE (512) + Ridge_alpha_10,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_ridge_alpha_10_latent_512.joblib,26.842105263157894,23.52941176470588,50.30739032945027,353.06275498180486,8.00772739467367,9.382631609433233,31.682809652152816,39.26420036747175,39.851402722143334,56.3512884871209,0.7585683465003967,0.6569330096244812
VAE (512) + Lasso_alpha_0.001,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_lasso_alpha_0.001_latent_512.joblib,28.68421052631579,30.88235294117647,52.674655301916964,339.6762184390766,8.31247514916847,9.509078256560459,32.948027641051695,39.795130886575755,41.50562366576485,57.44062456795211,0.7381088137626648,0.6435410380363464
VAE (512) + ElasticNet_alpha_0.001_l1_0.2,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_elasticnet_alpha_0.001_l1_0.2_latent_512.joblib,34.73684210526316,32.35294117647059,42.86031871504955,319.4511822829589,6.775267002202328,8.59345463874044,26.822361953634964,36.20886708971332,34.38513827395778,52.659443463372355,0.8202584385871887,0.7004125118255615
VAE (512) + ElasticNet_alpha_0.01_l1_0.5,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_elasticnet_alpha_0.01_l1_0.5_latent_512.joblib,22.36842105263158,13.23529411764706,64.52456368964464,342.5076741164187,9.76962879626081,12.189626438584904,38.65258010688581,51.45415975328754,49.006491193674705,68.15615425301412,0.6348980069160461,0.49814140796661377
