smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63
C=CC(=O)OCCOCCOC(=O)C=C,0.0002827365,-0.0017869081,0.001565455,0.00024893507,-0.000814928,-0.00011007022,0.00037153577,0.00022939639,0.00191887,0.0008910047,-0.0029647565,0.0009860229,0.0015831916,0.0011939257,1.7199665e-05,0.0014986666,-0.0004512712,-0.0011234656,-0.001249563,-0.000485925,5.2596675e-05,-0.0011346105,-0.00093787815,-0.0002719505,-0.00070391875,-0.0006504562,0.001352462,0.0012522507,0.0026127798,0.00025538052,-0.000636423,0.0014864836,-0.000764641,0.0016046166,0.00156515,-0.00045445212,0.00041141547,-0.0015052622,-0.00063886493,-0.0013851502,-0.0017436352,0.000963971,-0.003233049,0.0008190628,0.0015781176,-0.0019614426,2.9886141e-06,-0.0010048943,-0.0008786367,0.001399044,-6.200001e-05,-0.0010777749,-0.0013935342,-0.00018502772,0.0015478991,0.00052823545,0.000598487,0.00067872787,0.00069804024,0.00023560785,-0.0002948884,0.0034928117,-8.632988e-05,0.0002558306
C=CC(=O)OC(C)(C)C,-7.7582896e-05,-0.0019993335,0.0021285932,0.0010797121,-0.00021225051,-0.00018084701,-0.00043361308,-0.00014413847,0.0019961018,0.00093556754,-0.0037158253,0.0017360691,0.0022160346,0.0008935705,0.0010820925,0.0023431582,-0.0010887634,-0.0006873477,-0.0011260789,-9.115506e-05,0.00013037794,-0.0011918589,-0.001521795,-0.00048380077,-0.0012739683,-0.0010963697,0.0018632049,0.00063155405,0.003687608,0.00042041088,-0.0007026307,0.0009371076,-0.0009881062,0.0025471803,0.001741726,-0.00065900595,0.0010288544,-0.0014520353,-0.0010980861,-0.0020470002,-0.0015404001,0.0018046908,-0.0030289646,0.00028525293,0.0019793985,-0.002453749,-0.00027822796,-0.0010969238,-0.0013454752,0.0014787782,-0.00019473769,-0.00068939105,-0.001310641,-0.00029698573,0.002319727,0.0008190484,0.0014616835,0.0003966284,0.00084406603,0.00029699318,0.00031195953,0.004303351,-0.00034536235,0.0005165152
COC(OC)(C(=O)c1ccccc1)c1ccccc1,-0.0006050393,-0.0015147831,0.0021754405,0.0009942912,-0.00016026036,-0.00037848856,-2.2220891e-05,-0.0008960818,0.0026789773,0.0013698088,-0.0033299876,0.0008903295,0.0026998678,0.0011607204,0.00041382387,0.0019299509,-0.0010350931,-0.0007824395,-0.0014405297,0.00028411858,0.00035566115,-0.0012767173,-0.001499624,-0.00034080877,-0.00090335216,-0.0017545987,0.001156481,0.0017139651,0.0038181106,-0.00028221612,-0.0007848833,0.0010562759,-0.0009573307,0.00301232,0.00180618,-0.0008339139,0.00034022145,-0.0024085985,-0.0017568311,-0.0017922164,-0.0017186198,0.0011110883,-0.0034584012,0.0009249225,0.0014390413,-0.0025249692,-0.00042840373,-0.0006850967,-0.000348269,0.0021494012,-0.00013420731,-0.0013056509,-0.0011825319,0.0004534647,0.0022238828,0.00028711604,0.0013963927,0.00013434933,0.000977301,-0.00020714011,0.00079420954,0.003608562,-0.0005514901,0.0008294862
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,-0.00012381375,-0.0010843985,0.0014754585,0.00052702613,-0.0006715639,-0.00031229388,0.00037912885,-1.6902108e-05,0.001466048,0.0006927494,-0.0026137447,0.0012227818,0.001729222,0.0010557957,-0.00049899146,0.0011549359,-0.00012721005,-0.0012765862,-0.0011238037,-0.00022628345,-0.00023829495,-0.0007338475,-0.00068755914,-0.00027592026,-0.00013768021,-0.00069463253,0.0009059552,0.00065000914,0.0020830007,8.8195084e-05,-0.000409076,0.0010161322,-0.0010995939,0.0013587642,0.0016327659,-0.0006272814,0.00037470832,-0.0018307576,-0.0005901279,-0.0013956556,-0.0015275013,0.0011211839,-0.0031169523,0.0011567213,0.0012769074,-0.0019156961,-3.805291e-05,-0.0008059582,-0.000660778,0.0012659188,0.00016900524,-0.0012274384,-0.0014224388,4.0147454e-05,0.0010796022,9.127427e-06,0.00083298003,0.00033405283,0.0008210102,0.00033183582,-3.35183e-05,0.0030251313,-5.9515238e-05,-6.9167465e-05
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,-0.0004460141,-0.0012237728,0.001183813,-0.00031909347,-0.0008161722,-0.00047301035,0.0004958757,0.000285964,0.0015797988,0.00065672863,-0.002672325,0.0009951666,0.0017823242,0.00089771114,-0.00043290667,0.0012975344,0.0002523337,-0.0012696087,-0.0009138547,-0.00060225185,-0.00022781524,-0.00071045826,-0.0004561441,-0.00023327174,-0.00017532427,-0.0007415898,0.00076675694,0.00043822825,0.001622797,9.506475e-07,-0.00029405393,0.0009968389,-0.0009888737,0.0013414267,0.0016402993,-0.00048446492,0.00039339624,-0.001660441,-0.00033057109,-0.001079587,-0.0013252366,0.0012874715,-0.0031525008,0.0010152925,0.0015124072,-0.0020250445,0.00016264338,-0.000711889,-0.00052044634,0.0012217201,-0.00013790838,-0.001053052,-0.001550829,-5.5036508e-05,0.0011609308,0.00016188854,0.0008148332,9.031268e-05,0.0005826792,0.00029043108,-0.0002322048,0.0029079039,-9.691715e-05,8.419901e-05
C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,0.00020480901,0.00015782472,-0.000721144,-0.0016890559,-0.00071844854,-2.065394e-05,6.878609e-05,0.0015064166,0.0006503705,6.8034045e-05,-0.0012699915,0.00022927113,0.0010457952,-0.00043133274,-6.990321e-05,0.00040626992,0.0014443856,-0.00063932687,-0.00045572966,-0.00082973577,-0.00047371467,-0.0004058245,0.00032559875,0.00046399503,0.00010525156,0.00081616826,8.4342435e-05,0.00032938272,-0.00061092805,-7.130136e-05,-0.00013543852,0.0006695833,-0.0011721347,-0.00092736445,0.00011186022,0.000686256,0.00026906468,-0.0010785097,0.0010075718,0.00023271167,-0.00039383024,0.0015879385,-0.0018367227,0.0012646057,0.0008317054,0.00011042319,0.0009845262,-0.0006527109,-0.00028525665,0.0007306505,0.00036609732,-0.000100398436,-0.0007015895,0.00021038018,-5.5690296e-05,-0.00040733768,0.00016194442,0.00031942548,-0.0006805444,7.678196e-05,-0.0016286653,0.000831075,0.00016334653,0.00014232285
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,-0.00023276359,-0.0007447768,0.00079845404,-0.00014570355,-0.0005844927,-8.690264e-05,0.00010979688,0.00013270648,0.0013419194,0.0004734667,-0.0021820487,0.00083219074,0.0015422711,0.00083419494,-0.000651652,0.0007222919,0.00026629982,-0.0012598764,-0.00084059965,-0.00033788104,-0.00031888369,-0.00070058624,-0.00024981704,1.073617e-05,0.0001702793,-0.0004794225,0.00078641996,0.00047695637,0.001397769,0.00031896005,-6.224401e-05,0.00071806426,-0.0013442608,0.0008476395,0.001332107,-0.00065070787,0.00046321377,-0.0016595023,-0.00017093215,-0.0010790739,-0.0014590081,0.0014251769,-0.0029059593,0.0013170112,0.0012030498,-0.0011662552,-0.000119143166,-0.0009510638,-0.00040812418,0.0012251977,-3.9283186e-05,-0.0012677852,-0.0012646075,7.828139e-05,0.0007873159,-0.0002912446,0.000440354,0.00021847012,0.00045033824,0.00010924414,-6.912276e-05,0.0021685455,-0.0001471024,-0.00015267171
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.0007587485,0.0005180454,-0.00085103745,-0.0012251325,-0.0005647915,-6.401539e-05,-1.1540484e-05,0.0014533424,8.435082e-05,-0.00020990707,-0.00097508077,0.0004061777,0.0006956216,-0.00022812374,-0.0003107842,0.00019276235,0.0016731203,-0.0005309526,-0.00039801653,-0.0007200856,-0.000690175,-0.00043157744,0.000418772,0.0007098698,0.000428061,0.0011820849,-2.5149435e-05,1.961179e-05,-0.000962005,-0.00016056863,-7.171556e-05,0.0004804168,-0.0012179855,-0.0014624987,-1.911167e-05,0.0007221715,0.00033000857,-0.0010197377,0.0008719582,0.00023846631,-0.00020719878,0.0017756037,-0.0014628507,0.0014737882,0.00057464174,0.00048092473,0.0012409342,-0.00073934253,-0.00029627047,0.0006238427,0.0004075989,-0.0004208982,-0.0006775018,3.3312477e-05,-0.00033101067,-0.0006779949,0.00025958614,0.00039377296,-0.00075545814,0.0004969351,-0.0017576925,0.00048004463,0.00034882687,-0.00038744695
c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,0.00019206107,0.0005919738,-0.00069781905,-0.0006163474,-0.0005847963,-0.00010628346,-0.0005621896,0.00015264051,0.00046727434,0.00027431734,-0.00010136794,0.000574423,7.476751e-05,0.0001655966,-0.00015487336,-0.0008863183,0.0008005921,-0.00070932694,-0.00016055722,0.0009570457,-0.0005829639,-0.0012502212,-0.00015095528,0.000988013,0.0005788328,-0.00013243407,1.2517907e-05,-1.3444573e-05,-0.0011184374,-0.0002717853,0.00017531589,0.0007736642,-0.0011109812,-0.0003759917,0.0003381176,0.00010456494,-5.558133e-06,-5.6224875e-05,-0.00016976893,-8.243206e-05,0.00063043647,0.0016998667,-0.0011842623,0.00026807934,0.00017398305,0.00016286038,0.0013616206,-0.0008850051,0.0003018584,0.00041481107,0.00025104545,-0.0011872016,-8.745678e-05,-0.0007243529,-2.299808e-05,-0.0006734519,0.0006154883,0.00094396854,-0.00024850294,0.00056842435,0.00018641725,0.0008400064,0.00016794913,-0.00026595034
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-0.00044829585,-0.0011255695,0.0019893688,0.0009597335,-0.0004324729,-0.00017949566,-9.469222e-06,-0.0006212364,0.002596097,0.0016842224,-0.0029953131,0.00070426054,0.0022715395,0.0013198983,-0.00025814958,0.0010195645,-0.0011641949,-0.00090026483,-0.0016180817,0.00082692783,0.00042259903,-0.0012361973,-0.0016353903,-0.00045863504,-0.0003557792,-0.0017553736,0.0008845469,0.0020881314,0.0036106082,-0.00037940894,-0.0006235447,0.0012241151,-0.0010235431,0.0029131304,0.001640386,-0.00045265653,7.2786584e-05,-0.0024448028,-0.0017114999,-0.0019045935,-0.0017735679,0.00029348582,-0.003059307,0.0006351229,0.0013503236,-0.002448502,-0.00050104223,-0.0008298177,-0.0006755749,0.0016531926,-0.0005556587,-0.0010357406,-0.0006534215,0.00023721252,0.0014380831,0.0005422742,0.001001962,0.00058152387,0.0012370069,-0.00047163107,0.0007330943,0.0030751992,-0.00050206296,0.0007340517
