smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
C=CC(=O)OCCOCCOC(=O)C=C,0.00018896977,0.00015179161,0.000974888,0.004346489,-0.0076779155,0.0039765416,0.0062695974,-0.00806326,-0.0011821017,-0.0012802947,-0.013692985,0.002388685,-0.00776067,0.004432236,-0.0016972227,-0.006526826
C=CC(=O)OC(C)(C)C,0.00027668267,-0.00038633496,-0.00014258362,0.0035105795,-0.007624796,0.0034466214,0.004472212,-0.008549068,-0.0022346172,-0.0015692832,-0.014408334,0.00275693,-0.0067544617,0.005143459,-0.0021002134,-0.006241855
COC(OC)(C(=O)c1ccccc1)c1ccccc1,-0.0035244182,0.0017881854,-0.00055296347,0.003762269,-0.0068180985,0.0035406891,0.0050045187,-0.008903338,-0.00019022077,-9.610318e-05,-0.01643958,0.0022003273,-0.0075284094,0.004572534,-0.0032875212,-0.0061985143
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,0.0005488475,0.000617126,0.0006159246,0.004467982,-0.008149904,0.003109834,0.005862603,-0.007949472,-0.0015062988,-0.0011633672,-0.013534231,0.0021895557,-0.0075835735,0.004280417,-0.0015262933,-0.0050986754
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,0.00020677852,0.0003181072,0.0023502316,0.0048739356,-0.006632472,0.00415455,0.0067906724,-0.00832293,-0.0009842105,-0.0012909323,-0.013833595,0.0014705518,-0.008211489,0.003989244,-0.0017981268,-0.0065044286
C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,-0.0006182587,0.0020967992,0.0027672034,0.0037035523,-0.0025276213,0.003528234,0.008014323,-0.008925017,-0.0011670683,-0.0021006651,-0.015725236,0.0010757064,-0.0085445475,0.0047610486,-0.0015371675,-0.0056658955
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,-2.3555942e-05,0.001354103,0.0021095574,0.0045924736,-0.0067681503,0.0029309469,0.0064308904,-0.008505177,-0.0018464308,-0.0012968732,-0.013726419,0.0014355117,-0.007500021,0.004593632,-0.0012268526,-0.0059640612
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,-0.00071031903,0.0017827163,0.0013308227,0.0035907305,-0.0035752612,0.003026985,0.0073774727,-0.009563298,-0.00093091466,-0.002575798,-0.015491024,0.0017552292,-0.008055812,0.005196184,-0.0010736147,-0.0041692927
c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,-0.0063437307,0.0024135392,-0.0011311229,0.00011348678,-0.003922581,0.003533405,0.0072804727,-0.009790534,-0.0017168801,8.356385e-05,-0.015660571,-0.0032468247,-0.005767905,0.004194742,-0.0015202165,-0.0046851467
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-0.00420007,0.0016546445,-0.00027919747,0.004433853,-0.007801272,0.0032968759,0.0052326573,-0.008619841,-0.0011229143,0.0010507442,-0.014786215,0.0013617128,-0.00760989,0.004655024,-0.0018866574,-0.004163971
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-0.004879319,0.003444627,0.00071310624,0.0028942567,-0.006483982,0.0046449746,0.006183923,-0.009264166,-0.00017219968,0.0014165454,-0.014271344,-6.287126e-05,-0.007527599,0.0048198635,-0.002573818,-0.005457134
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.00076625054,0.0012378618,0.0021723863,0.002167225,-0.004776646,0.0044586575,0.0047757225,-0.008091439,-0.002313234,0.0002830308,-0.01326954,0.0007299008,-0.0061602397,0.0037479494,-0.0006403439,-0.00596168
NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,-0.00018264563,0.0024917754,0.0030211005,0.0031726127,-0.0032984256,0.004403908,0.0060467888,-0.008397402,-0.0019994937,-8.572079e-05,-0.014104443,0.0015170118,-0.0068499334,0.0047340915,-0.0015568985,-0.0061620595
CC(N)COCC(C)OCC(C)OCC(C)N,-0.00016081729,-0.0010704249,0.00090289675,0.0035515185,-0.007389152,0.004042481,0.0051120995,-0.008137338,-0.0013772827,-0.0005461257,-0.013502218,0.002372427,-0.0071217176,0.00430555,-0.0014255103,-0.00622994
CCCCCCCCCCN,-0.00085630384,0.00084262155,5.6540594e-05,0.0042481837,-0.0073221033,0.003746798,0.0064687757,-0.008476974,-0.002543414,-0.0017680507,-0.01418879,0.002242005,-0.0065655187,0.0062611736,-0.0015067719,-0.0063809007
CC(C)(COCC1CO1)COCC1CO1,-0.00071248994,0.00035627,0.0009175185,0.00412053,-0.0071499012,0.003115455,0.0061461655,-0.008871721,-0.0002589561,-0.0012857132,-0.0139020085,0.0015320685,-0.008464152,0.0040438594,-0.0019346578,-0.007842787
CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN,0.0002763758,0.00212764,0.002401473,0.0029252414,-0.004915534,0.0040496383,0.005046726,-0.008515458,-0.001988776,0.00041196495,-0.013450773,0.0011047805,-0.0062483605,0.003570864,-0.00097508077,-0.0063247755
CC(N)COCC(C)COC(OCC(C)COCC(C)N)OCC(C)COCC(C)N,0.00059982063,0.0022602077,0.0020741355,0.002489532,-0.0050326735,0.0047779484,0.004689972,-0.008376671,-0.0018412601,0.00087513775,-0.013323227,0.0013586907,-0.0058514727,0.0039780466,-0.0010274425,-0.006102115
