smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63
C=CC(=O)OCCOCCOC(=O)C=C,0.0010462431,0.0065781847,-0.0023124553,0.0019869003,0.00307451,0.0005403578,-0.0037485575,-0.0020053491,-0.0008233283,-0.0006902935,-0.0021548085,-0.0009986896,0.005708711,-0.004023265,-0.0008115247,-0.0009863544,0.0030352613,0.0051560514,9.336788e-05,0.0026449817,0.0040240623,0.0028465241,0.0006258085,0.006063401,0.0023597572,-0.002222275,0.00088162,0.0023387466,-0.0031903815,0.00064004306,0.0020638646,0.00086549344,0.00049377093,-0.0009208764,0.00025869836,0.0041515827,0.0012507886,0.003951419,-0.0038308399,-0.0005639298,-0.002406247,-0.0001657391,-0.0021473905,-0.0011213832,-0.0034547471,0.0037416024,-0.00021404214,0.0005581826,-0.002123335,0.012033179,0.0038932832,0.003939605,-0.0012011784,-0.00125637,-0.00096824486,0.0032510837,0.0023378078,-0.0004819543,-0.0004050862,-0.0014096489,0.0015239278,-0.0038041277,0.004340779,-0.0064108307
C=CC(=O)OC(C)(C)C,0.0008567134,0.0068660453,-0.0015111994,0.0013451069,0.0027809571,0.0003563161,-0.003957076,-0.0014853692,-0.0017640321,-0.0018691802,-0.0028439872,-0.0006448248,0.0056753047,-0.0031778365,-0.0015075766,-0.0011235233,0.0029490758,0.005552901,-3.981497e-05,0.0023743575,0.0045499224,0.0022165235,0.00012219488,0.005911465,0.0019130576,-0.0022312473,0.0009021389,0.0025313008,-0.003009377,0.0009143101,0.0021027396,0.00079708593,0.001113656,-0.0015160642,0.0011565398,0.003850041,0.0012816135,0.0028271312,-0.003832586,-0.0011453731,-0.0015290277,0.0004847506,-0.0029642805,-0.0013851672,-0.0037165498,0.0037822751,2.6747584e-05,0.0014456008,-0.0020599116,0.01223814,0.0045009926,0.0049188514,-0.0016757105,-0.0008828491,-0.0006871568,0.0031721587,0.0027485453,-0.0010067467,-0.0017331485,-0.0012277113,0.0011814353,-0.0031107021,0.004431961,-0.0071345763
COC(OC)(C(=O)c1ccccc1)c1ccccc1,-0.0017069187,0.0041145803,-0.0018103356,0.0019084252,0.002307294,0.000677102,-0.0045725135,-0.0022924382,-0.0027265288,-0.0036022859,-0.004377641,-0.00076485024,0.0040891953,-0.0031535663,-0.0022978391,0.000108348206,0.0023688506,0.0051031765,4.210882e-05,0.0017562625,0.002781814,0.0003273394,-2.7518021e-05,0.003588302,0.0018427577,-0.0021710382,-0.0006011548,0.0038978262,-0.0026406925,0.00031358283,0.00090985,0.0038543856,0.00048058107,-0.00027742796,0.00013269647,0.0044157356,0.0007416047,0.0026536845,-0.0039932234,-0.0019901907,8.7610446e-05,0.00023958343,-0.0018875618,-0.0014818907,-0.0021666205,0.0034994297,-0.00070100464,0.0020548701,-0.0019623663,0.0116878385,0.0030743722,0.006496453,-0.0009886604,0.00045759324,-0.000255147,0.004129822,0.0024131704,-0.0011747596,-0.001877455,-0.0013140691,0.0027252347,-0.002445125,0.0021892376,-0.007677001
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,0.0020520212,0.0065130107,-0.0018724687,0.0013447399,0.0030181296,0.0012250755,-0.003918466,-0.0016128838,-0.0013123313,-0.0008882787,-0.0016411189,-0.00083134795,0.0048910417,-0.0025593918,0.00040546618,-0.00012696907,0.0025135633,0.0047721155,0.00035091676,0.0032619815,0.0044234972,0.0024456326,0.0009150754,0.006771762,0.0026838295,-0.0025234502,0.0013092409,0.002310881,-0.002759045,0.000351632,0.002109419,0.0013638167,0.0003494611,-0.00050946325,-0.00037420285,0.0033559743,0.00065547414,0.0039004255,-0.0038335472,0.0007526353,-0.0019940687,-0.00061530015,-0.0025785547,-0.0011706669,-0.0031814228,0.0037979838,0.0004955912,-0.000585787,-0.0021341576,0.012396084,0.0033022705,0.0036941175,-4.5888126e-05,-0.00016782712,-0.00043893233,0.0034390506,0.002538424,-0.0005074972,0.00044654496,-0.0014413288,0.0020483378,-0.0026445277,0.0047071995,-0.007240693
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,0.0018637171,0.006786162,-0.0021214923,0.0021883254,0.002182614,0.0010065085,-0.0036645299,-0.0023072425,-0.00046922825,-0.00030959398,-0.001079144,-0.0010853787,0.005668197,-0.002955759,-7.95722e-06,-3.4008175e-05,0.0032700282,0.0038309079,0.00017024111,0.00282483,0.0039615724,0.0030963812,0.0009618832,0.0068198917,0.0023449045,-0.0025912952,0.0010785342,0.0023089969,-0.0034436658,0.0010544639,0.0023584256,0.0016489811,0.00058826245,-0.0008362611,-0.00093519455,0.0041235797,0.0012958944,0.003906168,-0.00394422,0.00028057955,-0.0028307457,-0.00053138845,-0.0021714717,-0.0010766368,-0.003292344,0.0035490189,0.00030950736,-0.0005410481,-0.0018391213,0.011950507,0.0036722263,0.0035799365,-0.00025581568,-0.0012672106,-0.00074515585,0.003508831,0.00264588,7.231394e-05,0.0007331949,-0.0013886252,0.0016661715,-0.0032667099,0.0044207005,-0.0070610046
C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,0.0023544664,0.005665308,-0.0016462831,0.0030175764,-0.00061862357,0.00078679714,-0.0022125915,-0.004846347,-0.0023785643,0.00096917525,0.0009701364,-0.00058423454,0.0068307947,-0.0023035575,-0.00024152547,0.0010149386,0.0028580474,0.0025554094,0.0014882218,0.0027984309,0.0019241171,0.0048141293,0.0008420537,0.006916674,0.0011554323,-0.0018523997,0.0004963343,0.0017168447,-0.001954658,0.0024047177,0.0033290875,0.0019499678,0.0007205461,-0.00010632211,-0.0027382902,0.0052288175,0.0013010222,0.003530778,-0.0035123657,-0.00091827195,-0.004808861,-0.0011478411,-0.0029294519,-0.0011475291,-0.00056953775,0.0023627644,0.0015721312,-0.0011956766,-0.0012492863,0.010857244,0.0041211396,0.0042686523,0.0008964874,-0.00273374,-0.00011077151,0.002170633,0.0026372615,0.0016477196,0.001935184,-0.0013209628,0.000982584,-0.0023423564,0.0017115325,-0.008373437
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,0.0025931904,0.0060195196,-0.001988506,0.00125437,0.0018253308,0.0012137205,-0.0035795001,-0.0024208094,-0.0015122872,-0.00040884316,-0.0010282043,-0.001091792,0.0059166364,-0.002124507,0.00016327016,0.0007712785,0.0024932744,0.0038127266,0.000588526,0.0030453624,0.0036363704,0.0026082583,0.0012990313,0.0068208333,0.0024364907,-0.0025111032,0.0009877526,0.0024389597,-0.0032013152,0.0018828157,0.002448818,0.002633892,1.71992e-05,-4.0412415e-05,-0.0012529097,0.0034876522,0.00063301437,0.004240172,-0.004036041,0.00041699782,-0.0026481496,-0.00086886645,-0.002527983,-0.0010278486,-0.0028186636,0.00400374,0.00093246065,-0.0016124081,-0.0013967063,0.011538337,0.0039005764,0.0040965113,0.00083668646,-0.001064986,-0.00022166502,0.0027951277,0.0027401727,-0.00047528278,0.0013141744,-0.0020044846,0.0020024078,-0.0031309295,0.0042815264,-0.0074655013
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.0027880324,0.005340321,-0.0017120074,0.0021718508,-2.1165237e-05,0.0012353403,-0.0023916531,-0.004185885,-0.0030537937,0.00045425817,0.0005774461,-0.000108912966,0.006177269,-0.0020753592,0.00028224662,0.0014842171,0.0018623034,0.002624385,0.0015753927,0.0030914345,0.0022552311,0.0047575347,0.00073551317,0.0068884566,0.0009606574,-0.001651396,0.0005736555,0.0017544227,-0.0012289435,0.0019999035,0.0029861287,0.0022277487,0.00043511717,0.00043316232,-0.002690424,0.005230099,0.00081525743,0.0035701767,-0.0035392037,-0.0010537645,-0.0039700484,-0.0012705461,-0.0032165851,-0.0012859777,-0.00016888417,0.0023393817,0.0018280838,-0.0012360737,-0.0019447135,0.010955933,0.0037313476,0.0045030653,0.0013766731,-0.001747869,0.00029893126,0.0014823829,0.0022688098,0.0011959239,0.0018502194,-0.0014224434,0.001226713,-0.0019849204,0.0017097201,-0.008291762
c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,-0.00017919671,0.0039928276,-0.0021366347,0.0007259003,0.0009751711,0.0020058057,-0.00057793595,-0.0014895122,-0.005064643,-0.002682182,-0.0019902363,0.00054780504,0.0026787762,-0.0013611242,-0.0009414684,0.0011743549,0.0025262004,0.001172509,-0.0006272653,0.00063174777,0.0014927108,0.0011387151,0.00036458182,0.00356921,-0.00057994947,-0.0013606674,-0.0016412116,0.0027832119,6.529875e-05,-0.000104024075,-0.0009001801,0.0028202087,-0.00080495933,-0.0024395413,-0.000680174,0.0057331957,-0.0013522264,0.0010386696,-0.0032577738,-0.0032250108,0.0002941722,0.00039249286,-0.00094292033,-0.0045221467,0.0003792718,0.0022080801,-0.0003282018,0.0008412935,-0.0019951982,0.010001078,0.00032199407,0.0074111014,-0.0014731251,-0.0013427911,0.0007534558,0.0026274272,0.0015433338,0.0005641333,-0.001142893,0.00017493777,-0.00057023857,2.9057264e-07,0.0027963854,-0.008382951
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-0.0013371399,0.0039736107,-0.0015135631,0.0013695699,0.0029455423,0.0014039644,-0.0044145165,-0.0011690103,-0.003020686,-0.002908024,-0.0045184875,-0.0003973549,0.0042269863,-0.0026242342,-0.0024935454,0.0004196521,0.0024084132,0.004969947,-0.00082882494,0.0023838878,0.0031394856,-0.00012831017,-5.795248e-05,0.003747929,0.0022067,-0.0023252172,-0.00088692375,0.004828068,-0.0020841248,0.0001774393,0.0009862129,0.0033712927,0.00018889364,-0.00018539559,0.0006592859,0.003991509,-4.5323744e-05,0.0023104586,-0.0036076745,-0.002302955,0.0009324113,-0.00011662813,-0.001913066,-0.0027726796,-0.0024456636,0.0043873778,-0.00046034344,0.001485534,-0.0013656719,0.0122040305,0.0024012905,0.0059711193,-0.0004995982,0.0007887138,0.00025308877,0.003916644,0.0032969695,-0.0020648567,-0.001811659,-0.00085274223,0.0028026905,-0.00362348,0.003241335,-0.0078088483
