smiles,groups,invalid
C=CC(=O)OCCOCCOC(=O)C=C,ester;ether;vinyl,False
C=CC(=O)OC(C)(C)C,ester;ether;vinyl,False
COC(OC)(C(=O)c1ccccc1)c1ccccc1,aromatic;ether,False
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,ester;ether;vinyl,False
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,ester;ether;vinyl,False
C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,ester;ether;vinyl,False
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,ester;ether;vinyl,False
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,ester;ether;vinyl,False
c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,aromatic;epoxy;ether,False
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,aromatic;primary_amine,False
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,aromatic;epoxy;ether,False
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,ether;primary_amine,False
NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,primary_amine;secondary_amine,False
CC(N)COCC(C)OCC(C)OCC(C)N,ether;primary_amine,False
CCCCCCCCCCN,primary_amine,False
CC(C)(COCC1CO1)COCC1CO1,epoxy;ether,False
CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN,ether;primary_amine,False
CC(N)COCC(C)COC(OCC(C)COCC(C)N)OCC(C)COCC(C)N,ether;primary_amine,False
CC(N)COCC(C)COCC(C)CN,ether;primary_amine,False
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,anhydride;aromatic;ester;ether,False
Nc1ccc(Oc2ccc(N)cc2)cc1,aromatic;ether;primary_amine,False
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,aromatic;primary_amine,False
CC(C)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,aromatic;ether,False
CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,ether;primary_amine,False
NCCOCCOCCN,ether;primary_amine,False
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN,ether;primary_amine,False
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N,ether;primary_amine,False
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,ether;primary_amine,False
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,ether;primary_amine,False
NCCCOCCOCCCN,ether;primary_amine,False
CC(C)(C)N,primary_amine,False
CCCCN,primary_amine,False
CCCCCCCCCCCCCCCCN,primary_amine,False
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,ether;primary_amine,False
