group,chembl,generated,library,literature_template,total,sources_present,priority,coverage_note
cyanate_ester,0,1,2,12,15,3,sparse_high_value,covered
anhydride,1,1,8,6,16,4,sparse_high_value,covered
isocyanate,0,1,6,9,16,3,sparse_high_value,covered
maleimide,1,1,3,11,16,4,sparse_high_value,covered
thiol,7,1,5,11,24,4,sparse_high_value,covered
acrylate_or_methacrylate,27,0,0,1,28,2,standard,covered
imide,13,1,3,11,28,4,standard,covered
nitrile,15,1,8,12,36,4,standard,covered
epoxy,12,1,39,0,52,3,standard,covered
phenol,66,2,7,0,75,3,standard,covered
carboxylic_acid,85,0,5,1,91,3,standard,covered
primary_amine,103,2,62,0,167,3,standard,covered
vinyl,142,1,58,13,214,4,standard,covered
ester,139,1,73,6,219,4,standard,covered
secondary_amine,224,0,8,2,234,3,standard,covered
hydroxyl,248,2,38,1,289,4,standard,covered
ether,261,4,155,22,442,4,standard,covered
aromatic,365,10,110,35,520,4,standard,covered
