smiles,source,label,groups,functionality,allowed_atoms,feature_aromatic_backbone,feature_rigid_multi_aromatic,feature_imide_or_anhydride,feature_cyanate_ester,feature_maleimide,feature_nitrile_rich,feature_sulfone_linker,feature_fluorinated_rigid_linker,feature_high_functionality,feature_flexible_ether_risk,feature_long_aliphatic_risk,feature_peg_like_risk,feature_peptide_like_risk,feature_too_flexible_risk,feature_too_large_risk,feature_heavy_halogen_risk,feature_stereochemical_complexity_risk,feature_druglike_hetero_complexity_risk,feature_formal_charge_practical_risk
C=CC(=O)OCCOCCOC(=O)C=C,library,library_1,ester;ether;vinyl,2,B;Br;C;Cl;F;H;I;N;O;P;S;Si,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False
C=CC(=O)OC(C)(C)C,library,library_2,ester;ether;vinyl,1,B;Br;C;Cl;F;H;I;N;O;P;S;Si,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COC(OC)(C(=O)c1ccccc1)c1ccccc1,library,library_3,aromatic;ether,0,B;Br;C;Cl;F;H;I;N;O;P;S;Si,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,library,library_4,ester;ether;vinyl,2,B;Br;C;Cl;F;H;I;N;O;P;S;Si,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,library,library_5,ester;ether;vinyl,2,B;Br;C;Cl;F;H;I;N;O;P;S;Si,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False
C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,library,library_6,ester;ether;vinyl,2,B;Br;C;Cl;F;H;I;N;O;P;S;Si,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,library,library_7,ester;ether;vinyl,2,B;Br;C;Cl;F;H;I;N;O;P;S;Si,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,library,library_8,ester;ether;vinyl,2,B;Br;C;Cl;F;H;I;N;O;P;S;Si,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False
c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,library,library_9,aromatic;epoxy;ether,2,B;Br;C;Cl;F;H;I;N;O;P;S;Si,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,library,library_10,aromatic;primary_amine,2,B;Br;C;Cl;F;H;I;N;O;P;S;Si,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
