group,smiles,source,label
ester,C=CC(=O)OCCOCCOC(=O)C=C,library,library_1
ether,C=CC(=O)OCCOCCOC(=O)C=C,library,library_1
vinyl,C=CC(=O)OCCOCCOC(=O)C=C,library,library_1
ester,C=CC(=O)OC(C)(C)C,library,library_2
ether,C=CC(=O)OC(C)(C)C,library,library_2
vinyl,C=CC(=O)OC(C)(C)C,library,library_2
aromatic,COC(OC)(C(=O)c1ccccc1)c1ccccc1,library,library_3
ether,COC(OC)(C(=O)c1ccccc1)c1ccccc1,library,library_3
ester,C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,library,library_4
ether,C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,library,library_4
vinyl,C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,library,library_4
ester,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,library,library_5
ether,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,library,library_5
vinyl,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,library,library_5
ester,C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,library,library_6
ether,C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,library,library_6
vinyl,C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,library,library_6
ester,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,library,library_7
ether,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,library,library_7
vinyl,C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,library,library_7
ester,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,library,library_8
ether,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,library,library_8
vinyl,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,library,library_8
aromatic,c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,library,library_9
epoxy,c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,library,library_9
ether,c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,library,library_9
aromatic,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,library,library_10
primary_amine,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,library,library_10
aromatic,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,library,library_11
epoxy,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,library,library_11
ether,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,library,library_11
ether,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,library,library_12
primary_amine,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,library,library_12
primary_amine,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,library,library_13
secondary_amine,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,library,library_13
ether,CC(N)COCC(C)OCC(C)OCC(C)N,library,library_14
primary_amine,CC(N)COCC(C)OCC(C)OCC(C)N,library,library_14
primary_amine,CCCCCCCCCCN,library,library_15
epoxy,CC(C)(COCC1CO1)COCC1CO1,library,library_16
ether,CC(C)(COCC1CO1)COCC1CO1,library,library_16
ether,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN,library,library_17
primary_amine,CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)CN,library,library_17
ether,CC(N)COCC(C)COC(OCC(C)COCC(C)N)OCC(C)COCC(C)N,library,library_18
primary_amine,CC(N)COCC(C)COC(OCC(C)COCC(C)N)OCC(C)COCC(C)N,library,library_18
ether,CC(N)COCC(C)COCC(C)CN,library,library_19
primary_amine,CC(N)COCC(C)COCC(C)CN,library,library_19
anhydride,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,library,library_20
aromatic,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,library,library_20
ester,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,library,library_20
ether,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,library,library_20
aromatic,Nc1ccc(Oc2ccc(N)cc2)cc1,library,library_21
ether,Nc1ccc(Oc2ccc(N)cc2)cc1,library,library_21
primary_amine,Nc1ccc(Oc2ccc(N)cc2)cc1,library,library_21
aromatic,Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,library,library_22
primary_amine,Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,library,library_22
aromatic,CC(C)(c1ccc2c(c1)CN(c1ccccc1)CO2)c1ccc2c(c1)CN(c1ccccc1)CO2,library,library_23
