group,chembl,generated,library,total,sources_present,priority,coverage_note
cyanate_ester,0,1,2,3,2,sparse_high_value,needs_literature_expansion
maleimide,1,1,3,5,3,sparse_high_value,needs_literature_expansion
isocyanate,0,1,6,7,2,sparse_high_value,needs_literature_expansion
anhydride,1,1,8,10,3,sparse_high_value,needs_literature_expansion
thiol,7,1,5,13,3,sparse_high_value,needs_literature_expansion
imide,13,1,3,17,3,standard,covered
nitrile,15,1,8,24,3,standard,covered
acrylate_or_methacrylate,27,0,0,27,1,standard,covered
epoxy,12,1,39,52,3,standard,covered
phenol,66,2,7,75,3,standard,covered
carboxylic_acid,85,0,5,90,2,standard,covered
primary_amine,103,2,62,167,3,standard,covered
vinyl,142,1,58,201,3,standard,covered
ester,139,1,73,213,3,standard,covered
secondary_amine,224,0,8,232,2,standard,covered
hydroxyl,248,2,38,288,3,standard,covered
ether,261,4,155,420,3,standard,covered
aromatic,365,10,110,485,3,standard,covered
