source_candidate_tg,replace_side,original_smiles,replacement_smiles,replacement_source,replacement_label,replacement_template_family,replacement_template_intended_group,shared_groups,counterpart_groups,counterpart_compatibility_reason,feedback_constraint,tanimoto
194.99681974863265,a,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,library,library_222,,,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.5757575757575758
194.99681974863265,a,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,library,library_219,,,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.47058823529411764
194.99681974863265,a,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Nc1ccc(-c2ccc(N)cc2)cc1,library,library_150,,,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.3
194.99681974863265,a,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Nc1ccc(C(c2ccc(N)cc2)(C(F)(F)F)C(F)(F)F)cc1,generated,generated_diamine_fluorinated_core,,,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.2777777777777778
194.99681974863265,a,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Nc1ccc2nc(-c3ccc(F)cc3)oc2c1,chembl,chembl_scan_451,,,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.2553191489361702
194.99681974863265,b,Cc1ccc(N=C=O)cc1N=C=O,CC(C)(C)c1cc(N=C=O)ccc1N=C=O,literature_template,template_diisocyanate_tbutyl_phenyl,isocyanate,isocyanate,aromatic;isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.5454545454545454
194.99681974863265,b,Cc1ccc(N=C=O)cc1N=C=O,Cc1ccc(N=C=O)cc1,literature_template,template_isocyanate_tolyl,isocyanate,isocyanate,aromatic;isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.5357142857142857
194.99681974863265,b,Cc1ccc(N=C=O)cc1N=C=O,O=C=Nc1ccc(N=C=O)cc1,generated,generated_diisocyanate_ppdi,,,aromatic;isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.52
194.99681974863265,b,Cc1ccc(N=C=O)cc1N=C=O,O=C=Nc1cccc(N=C=O)c1,literature_template,template_diisocyanate_metaphenylene,isocyanate,isocyanate,aromatic;isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.5
194.99681974863265,b,Cc1ccc(N=C=O)cc1N=C=O,CC(C)(c1ccc(N=C=O)cc1)c1ccc(N=C=O)cc1,literature_template,template_diisocyanate_bpa_core,isocyanate,isocyanate,aromatic;isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.4375
195.005365464446,a,C=CC(=O)OCCOCCOc1ccccc1,C=CC(=O)OCCOCCOCCOc1ccccc1,library,library_173,,,aromatic;ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,preserve_complementary_reactive_pair,1.0
195.005365464446,a,C=CC(=O)OCCOCCOc1ccccc1,C=CC(=O)OCCOCCOCCOCCOc1ccccc1,library,library_174,,,aromatic;ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,preserve_complementary_reactive_pair,1.0
