source_candidate_tg,replace_side,original_smiles,replacement_smiles,shared_groups,counterpart_groups,counterpart_compatibility_reason,feedback_constraint,tanimoto
194.99681974863265,a,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.5757575757575758
194.99681974863265,a,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.47058823529411764
194.99681974863265,a,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.3
194.99681974863265,b,Cc1ccc(N=C=O)cc1N=C=O,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,aromatic;isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.41935483870967744
194.99681974863265,b,Cc1ccc(N=C=O)cc1N=C=O,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,aromatic;isocyanate,aromatic;primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.15517241379310345
194.99681974863265,b,Cc1ccc(N=C=O)cc1N=C=O,O=C=NCCCCCCN=C=O,aromatic;isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,preserve_complementary_reactive_pair,0.15151515151515152
195.005365464446,a,C=CC(=O)OCCOCCOc1ccccc1,C=CC(=O)OCCOCCOCCOc1ccccc1,aromatic;ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,preserve_complementary_reactive_pair,1.0
195.005365464446,a,C=CC(=O)OCCOCCOc1ccccc1,C=CC(=O)OCCOCCOCCOCCOc1ccccc1,aromatic;ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,preserve_complementary_reactive_pair,1.0
195.005365464446,a,C=CC(=O)OCCOCCOc1ccccc1,C=CC(=O)OCCOCCOC(=O)C=C,aromatic;ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,preserve_complementary_reactive_pair,0.6129032258064516
195.005365464446,b,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,aromatic;imide;maleimide;vinyl,aromatic;ester;ether;vinyl,马来酰亚胺与烯基共聚/加成。,preserve_complementary_reactive_pair,0.7777777777777778
195.005365464446,b,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,aromatic;imide;maleimide;vinyl,aromatic;ester;ether;vinyl,马来酰亚胺与烯基共聚/加成。,preserve_complementary_reactive_pair,0.7058823529411765
195.005365464446,b,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS,aromatic;imide;maleimide;vinyl,aromatic;ester;ether;vinyl,硫醇-烯点击反应。,preserve_complementary_reactive_pair,0.13513513513513514
194.99270136027468,a,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,CC(C)(c1ccc(OCCOCCOCCOCC2CO2)cc1)c1ccc(OCCOCCOCCOCC2CO2)cc1,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.9705882352941176
194.99270136027468,a,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.7428571428571429
194.99270136027468,a,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.5319148936170213
194.99270136027468,b,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.8235294117647058
194.99270136027468,b,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.6470588235294118
194.99270136027468,b,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.56
195.0074809970216,a,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,COc1cc(COCC2CO2)ccc1OCC1CO1,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.46808510638297873
195.0074809970216,a,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,preserve_complementary_reactive_pair,0.40816326530612246
