generation_id,strategy,stage,target_tg_c,target_window_c,candidate_smiles,candidate_ratios,source_context,generator_id,generation_time,prompt_id,prompt_text,prompt_hash,rag_query,rag_context_refs,rag_context_digest,principle_hypothesis,functional_group_plan,candidate_json,compatibility_reasons,predicted_tg_mean_c,predicted_tg_sigma_c,ood_penalty,pievo_round,selected_by_ids,harness_failure_reason,review_status,notes
rule_template_f7aaf8d644bb,rule_template,harnessed,195.0,5.0,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1|Cc1ccc(N=C=O)cc1N=C=O,0.65000:0.35000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;primary_amine + aromatic;isocyanate,"{""groups_a"": ""aromatic;primary_amine"", ""groups_b"": ""aromatic;isocyanate"", ""in_target_range"": true, ""ratio_a"": 0.65, ""ratio_b"": 0.35, ""smiles_a"": ""Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1"", ""smiles_b"": ""Cc1ccc(N=C=O)cc1N=C=O"", ""source_row_index"": 0, ""source_target_distance_c"": 0.003180251367354}",异氰酸酯-伯胺形成聚脲。,194.99681974863265,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
rule_template_ae6b770eef8d,rule_template,harnessed,195.0,5.0,C=CC(=O)OCCOCCOc1ccccc1|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;ester;ether;vinyl + aromatic;imide;maleimide;vinyl,"{""groups_a"": ""aromatic;ester;ether;vinyl"", ""groups_b"": ""aromatic;imide;maleimide;vinyl"", ""in_target_range"": true, ""ratio_a"": 0.3, ""ratio_b"": 0.7, ""smiles_a"": ""C=CC(=O)OCCOCCOc1ccccc1"", ""smiles_b"": ""O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O"", ""source_row_index"": 1, ""source_target_distance_c"": 0.0053654644459584}",马来酰亚胺与烯基共聚/加成。,195.005365464446,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
rule_template_24150f79c9cb,rule_template,harnessed,195.0,5.0,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.10000:0.90000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether + aromatic;ether;primary_amine,"{""groups_a"": ""aromatic;epoxy;ether"", ""groups_b"": ""aromatic;ether;primary_amine"", ""in_target_range"": true, ""ratio_a"": 0.1, ""ratio_b"": 0.9, ""smiles_a"": ""CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1"", ""smiles_b"": ""Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1"", ""source_row_index"": 2, ""source_target_distance_c"": 0.0072986397253202}",环氧-伯胺开环固化。,194.99270136027468,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
rule_template_15dac2dafc43,rule_template,harnessed,195.0,5.0,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1(C)CC(CN)CC(C)(N)C1,0.70000:0.30000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether;vinyl + primary_amine,"{""groups_a"": ""aromatic;epoxy;ether;vinyl"", ""groups_b"": ""primary_amine"", ""in_target_range"": true, ""ratio_a"": 0.7, ""ratio_b"": 0.3, ""smiles_a"": ""C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1"", ""smiles_b"": ""CC1(C)CC(CN)CC(C)(N)C1"", ""source_row_index"": 3, ""source_target_distance_c"": 0.0074809970215881}",环氧-伯胺开环固化。,195.0074809970216,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
rule_template_7f6518b6034f,rule_template,harnessed,195.0,5.0,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|OCCOCCO,0.35000:0.65000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;epoxy;ether + ether;hydroxyl,"{""groups_a"": ""aromatic;epoxy;ether"", ""groups_b"": ""ether;hydroxyl"", ""in_target_range"": true, ""ratio_a"": 0.35, ""ratio_b"": 0.65, ""smiles_a"": ""Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1"", ""smiles_b"": ""OCCOCCO"", ""source_row_index"": 4, ""source_target_distance_c"": 0.0196473572114825}",环氧-羟基醚化，常需催化剂。,195.01964735721148,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
rule_template_27fddd713fb8,rule_template,harnessed,195.0,5.0,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1|CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.80000:0.20000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;ether;primary_amine + aromatic;cyanate_ester;ether;nitrile,"{""groups_a"": ""aromatic;ether;primary_amine"", ""groups_b"": ""aromatic;cyanate_ester;ether;nitrile"", ""in_target_range"": true, ""ratio_a"": 0.8, ""ratio_b"": 0.1999999999999999, ""smiles_a"": ""Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1"", ""smiles_b"": ""CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1"", ""source_row_index"": 5, ""source_target_distance_c"": 0.0224656446098663}",氰酸酯-胺共反应。,195.02246564460987,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
rule_template_bc968c5a3adf,rule_template,harnessed,195.0,5.0,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1|Nc1ccc(-c2ccc(N)cc2)cc1,0.45000:0.55000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;cyanate_ester;ether;nitrile + aromatic;primary_amine,"{""groups_a"": ""aromatic;cyanate_ester;ether;nitrile"", ""groups_b"": ""aromatic;primary_amine"", ""in_target_range"": true, ""ratio_a"": 0.45, ""ratio_b"": 0.55, ""smiles_a"": ""CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1"", ""smiles_b"": ""Nc1ccc(-c2ccc(N)cc2)cc1"", ""source_row_index"": 6, ""source_target_distance_c"": 0.0281307726383772}",氰酸酯-胺共反应。,194.9718692273616,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
rule_template_f00e29deae6a,rule_template,harnessed,195.0,5.0,CCC(CO)(CO)CO|O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.40000:0.60000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,hydroxyl + anhydride;aromatic;ester;ether,"{""groups_a"": ""hydroxyl"", ""groups_b"": ""anhydride;aromatic;ester;ether"", ""in_target_range"": true, ""ratio_a"": 0.4, ""ratio_b"": 0.6, ""smiles_a"": ""CCC(CO)(CO)CO"", ""smiles_b"": ""O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21"", ""source_row_index"": 7, ""source_target_distance_c"": 0.0282748930880814}",酸酐-羟基酯化。,194.97172510691192,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
rule_template_4baa0ddb8586,rule_template,harnessed,195.0,5.0,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1|O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.45000:0.55000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;ether;primary_amine + anhydride;aromatic;ester;ether,"{""groups_a"": ""aromatic;ether;primary_amine"", ""groups_b"": ""anhydride;aromatic;ester;ether"", ""in_target_range"": true, ""ratio_a"": 0.45, ""ratio_b"": 0.55, ""smiles_a"": ""Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1"", ""smiles_b"": ""O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21"", ""source_row_index"": 8, ""source_target_distance_c"": 0.0293744824396924}",酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,194.9706255175603,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
rule_template_bbb72431693e,rule_template,harnessed,195.0,5.0,Nc1ccc(Cc2ccc(N)cc2)cc1|COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,0.80000:0.20000,selected_candidate_space_rule_template,smp02.agent_discovery:rule_template_enumeration,2026-06-06,rule_template_candidate_space_v1,"Enumerate rule-template SMP formulation candidates for target_tg_c=195, target_window_c=5; retain only compatible functional-group pairs and ratio-simplex records.",c3e9f07e47056885,,artifacts/reproduce/discovery/selected_candidates.csv|trail/harness/constraints.py,Rule-template candidate-space enumeration with functional-group compatibility and target-window filtering.,Rule-template compatible functional-group enumeration can seed validated target-window formulations.,aromatic;primary_amine + aromatic;epoxy;ester;ether,"{""groups_a"": ""aromatic;primary_amine"", ""groups_b"": ""aromatic;epoxy;ester;ether"", ""in_target_range"": true, ""ratio_a"": 0.8, ""ratio_b"": 0.1999999999999999, ""smiles_a"": ""Nc1ccc(Cc2ccc(N)cc2)cc1"", ""smiles_b"": ""COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1"", ""source_row_index"": 9, ""source_target_distance_c"": 0.0319066244994985}",环氧-伯胺开环固化。,194.9680933755005,,0.0,,False,,needs_review,"Rule-template enumeration seed from selected candidate space; surrogate evidence only, not real DSC."
