process_record_id,linked_observation_id,source_type,target_tg_c,observed_tg_c,smiles,ratios,reaction_principle,process_template,review_status,literature_source,operator,catalyst,catalyst_loading,cure_temperature_c,cure_time_h,post_cure_temperature_c,post_cure_time_h,imidization_temperature_c,imidization_time_h,trimerization_temperature_c,initiator_type,initiator_loading,moisture_control,nco_index,notes,source_type_allowed,review_status_allowed,valid_smiles,ratio_ok,process_template_known,required_process_fields,missing_process_fields,process_fields_complete,target_distance_c,process_record_pass,ready_for_active_ledger
review_queue_0001,vae_latent_local_search_0177,surrogate_review,195.0,195.2004599427479,N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1|Nc1ccc(Cc2ccc(N)cc2)cc1,0.90000:0.10000,cyanate_ester_amine,cyanate_ester_triazine_cure,needs_human_review,vae_latent_local_search,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=trimerization_temperature_c;catalyst_loading;post_cure_temperature_c; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,trimerization_temperature_c;catalyst_loading;post_cure_temperature_c,trimerization_temperature_c;catalyst_loading;post_cure_temperature_c,False,0.2004599427478979,True,False
review_queue_0002,vae_latent_local_search_0175,surrogate_review,195.0,194.62675651389424,N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1,0.90000:0.10000,cyanate_ester_amine,cyanate_ester_triazine_cure,needs_human_review,vae_latent_local_search,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=trimerization_temperature_c;catalyst_loading;post_cure_temperature_c; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,trimerization_temperature_c;catalyst_loading;post_cure_temperature_c,trimerization_temperature_c;catalyst_loading;post_cure_temperature_c,False,0.3732434861057641,True,False
review_queue_0003,surrogate_round_5,surrogate_review,195.0,195.8852860198096,CC(C)(C(=O)O)c1cccnc1Nc1ccc(Cl)cc1|CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.34577:0.65423,epoxy_carboxylic_acid,epoxy_anhydride_catalyzed_cure,needs_human_review,pievo_ensemble_guard_selected,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=catalyst_loading;cure_temperature_c;post_cure_temperature_c; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,False,0.8852860198095982,True,False
review_queue_0004,vae_latent_local_search_0035,surrogate_review,195.0,195.5690184359816,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1(C)CC(N)CC(C)(CN)C1,0.70000:0.30000,epoxy_primary_amine,epoxy_amine_thermal_cure,needs_human_review,vae_latent_local_search,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,False,0.5690184359816044,True,False
review_queue_0005,surrogate_round_2,surrogate_review,195.0,195.11905729703824,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|NCCNCCN|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.38304:0.53431:0.08265,epoxy_primary_amine,epoxy_amine_thermal_cure,needs_human_review,pievo_latent_local_search_selected,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,False,0.11905729703823908,True,False
review_queue_0006,vae_latent_local_search_0115,surrogate_review,195.0,194.0782066429732,CC1(C)CC(N)CC(C)(CN)C1|O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0.50000:0.50000,isocyanate_primary_amine,isocyanate_urethane_urea,needs_human_review,vae_latent_local_search,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=moisture_control;nco_index;cure_temperature_c; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,moisture_control;nco_index;cure_temperature_c,moisture_control;nco_index;cure_temperature_c,False,0.921793357026786,True,False
review_queue_0007,sparse_target_replacement_250_0204,surrogate_review,250.0,249.96571728997148,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.95000:0.05000,epoxy_hydroxyl,epoxy_anhydride_catalyzed_cure,needs_human_review,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=catalyst_loading;cure_temperature_c;post_cure_temperature_c; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,False,0.03428271002852057,True,False
review_queue_0008,sparse_target_replacement_250_0215,surrogate_review,250.0,250.5543530246221,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,0.45000:0.55000,anhydride_hydroxyl,anhydride_amine_imidization,needs_human_review,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=solvent;imidization_temperature_c;imidization_time_h; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,solvent;imidization_temperature_c;imidization_time_h,solvent;imidization_temperature_c;imidization_time_h,False,0.5543530246220882,True,False
review_queue_0009,vae_latent_local_search_0049,surrogate_review,195.0,195.72079701466947,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|O=C(O)CS,0.35000:0.65000,epoxy_carboxylic_acid,epoxy_anhydride_catalyzed_cure,needs_human_review,vae_latent_local_search,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=catalyst_loading;cure_temperature_c;post_cure_temperature_c; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,False,0.720797014669472,True,False
review_queue_0010,vae_latent_local_search_0010,surrogate_review,195.0,195.5946019533614,C=C(C)C(=O)OCCOc1ccccc1|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000,maleimide_vinyl,maleimide_addition_or_copolymerization,needs_human_review,vae_latent_local_search,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=cure_temperature_c;co_reactant_stoichiometry;post_cure_temperature_c; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,cure_temperature_c;co_reactant_stoichiometry;post_cure_temperature_c,cure_temperature_c;co_reactant_stoichiometry;post_cure_temperature_c,False,0.5946019533614049,True,False
review_queue_0011,sparse_target_replacement_250_0058,surrogate_review,250.0,249.88881937114007,O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.60000:0.40000,anhydride_hydroxyl,anhydride_amine_imidization,needs_human_review,sparse_target_replacement_250,smp02_human_review_queue,,,,,,,,,,,,,,Human review queue draft; missing_process_fields=solvent;imidization_temperature_c;imidization_time_h; review_priority=process_design_for_dsc; not active ledger evidence.,True,True,True,True,True,solvent;imidization_temperature_c;imidization_time_h,solvent;imidization_temperature_c;imidization_time_h,False,0.11118062885992686,True,False
