protocol_rank,protocol_id,request_id,validation_rank,linked_observation_id,target_tg_c,surrogate_tg_c,target_distance_c,predicted_tg_sigma_c,candidate_origin,process_template,risk_flags,eligible_observation_source_type,authority_weight_if_completed,required_methods,method_count,protocol_steps,acceptance_criteria,protocol_status,blocked_by_process_completion,process_approval_unblocked,can_start_high_fidelity_protocol,creates_observation,required_result_fields,evidence_level,smiles,ratios
1,protocol_validation_001_high_fidelity_validation,validation_001_high_fidelity_validation,1,sparse_target_replacement_250_0204,250.0,249.96571728997148,0.0342827100285205,77.98662330230695,sparse_target_replacement_250,epoxy_anhydride_catalyzed_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,5,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.95000:0.05000
2,protocol_validation_002_high_fidelity_validation,validation_002_high_fidelity_validation,2,sparse_target_replacement_250_0058,250.0,249.88881937114007,0.1111806288599268,83.05386411514712,sparse_target_replacement_250,anhydride_amine_imidization,process_incomplete;high_predictor_sigma;high_ood_penalty;new_component;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check;imidization_protocol_review,6,"confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry; review solvent, imidization temperature, and imidization time for anhydride-amine routes","process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion; imidization protocol fields are complete and reviewer-approved",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.60000:0.40000
3,protocol_validation_003_high_fidelity_validation,validation_003_high_fidelity_validation,3,sparse_target_replacement_250_0215,250.0,250.5543530246221,0.5543530246221167,64.77423201680902,sparse_target_replacement_250,anhydride_amine_imidization,process_incomplete;high_predictor_sigma;new_component;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check;imidization_protocol_review,6,"confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry; review solvent, imidization temperature, and imidization time for anhydride-amine routes","process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion; imidization protocol fields are complete and reviewer-approved",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,0.45000:0.55000
4,protocol_validation_006_high_fidelity_validation,validation_006_high_fidelity_validation,6,sparse_target_replacement_250_0035,250.0,249.6163776184917,0.3836223815083031,74.65113242987776,sparse_target_replacement_250,epoxy_amine_thermal_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,5,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1,0.20000:0.80000
5,protocol_validation_007_high_fidelity_validation,validation_007_high_fidelity_validation,7,sparse_target_replacement_250_0277,250.0,250.7669903376895,0.7669903376894922,85.46044057445054,sparse_target_replacement_250,epoxy_anhydride_catalyzed_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;new_component;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,5,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,COc1cc(CC2CO2)ccc1OP(=O)(Oc1ccc(CC2CO2)cc1OC)Oc1ccc(CC2CO2)cc1OC|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000
6,protocol_validation_008_high_fidelity_validation,validation_008_high_fidelity_validation,8,sparse_target_replacement_250_0008,250.0,249.4053290851912,0.5946709148088019,73.69969771454676,sparse_target_replacement_250,epoxy_amine_thermal_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,5,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1|Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.25000:0.75000
7,protocol_validation_009_high_fidelity_validation,validation_009_high_fidelity_validation,9,surrogate_round_2,195.0,195.11905729703824,0.119057297038239,46.46276015866557,pievo_latent_local_search_selected,epoxy_amine_thermal_cure,process_incomplete;high_ood_penalty;new_component,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|NCCNCCN|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.38304:0.53431:0.08265
8,protocol_validation_010_high_fidelity_validation,validation_010_high_fidelity_validation,10,sparse_target_replacement_250_0182,250.0,250.85196239366724,0.851962393667236,85.72298280428798,sparse_target_replacement_250,epoxy_anhydride_catalyzed_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;new_component;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,5,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000
9,protocol_validation_011_high_fidelity_validation,validation_011_high_fidelity_validation,11,surrogate_round_3,195.0,195.0590323055354,0.0590323055353962,57.63734892553668,pievo_latent_local_search_selected,epoxy_amine_thermal_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;new_component,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,COC(=O)c1cc(CCc2ccc(OC)cc2OC)ccc1O|Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21|O=C(NCc1ccc(S(=O)(=O)O)cc1)C(CS)Cc1ccccc1|c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,0.06645:0.18729:0.16791:0.57835
10,protocol_validation_014_high_fidelity_validation,validation_014_high_fidelity_validation,14,vae_latent_local_search_0063,195.0,195.4722136422204,0.4722136422203391,70.25119156721226,vae_latent_local_search,maleimide_addition_or_copolymerization,process_incomplete;high_predictor_sigma;high_ood_penalty;new_component,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,Nc1ccc(-c2ccc(N)cc2)cc1|O=C1C=CC(=O)N1c1ccccc1N1C(=O)C=CC1=O,0.55000:0.45000
