candidate_origin,source_path,source_row_index,linked_observation_id,target_tg_c,observed_tg_c,predicted_tg_mean_c,predicted_tg_sigma_c,target_distance_c,smiles,ratios,sources,labels,groups,compatibility_reasons,ood_penalty,new_component_count,notes,reaction_principle,process_template,required_process_fields,missing_process_fields,missing_process_field_count,valid_smiles,ratio_ok,target_reward,surrogate_risk_penalty,process_burden_penalty,review_score,review_priority,review_tier,recommended_action,ready_for_active_ledger,review_status,review_rank
vae_latent_local_search,artifacts/trail/generation/vae_latent_local_search_eval/replacement_proposals_scored.csv,177,vae_latent_local_search_0177,195.0,195.2004599427479,195.2004599427479,37.34403602198986,0.2004599427478979,N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1|Nc1ccc(Cc2ccc(N)cc2)cc1,0.90000:0.10000,source_candidate|replacement_pool,source_a|replacement_b,aromatic;cyanate_ester;ether;nitrile|aromatic;primary_amine,氰酸酯-胺共反应。,1.9383939504623413,0.0,,cyanate_ester_amine,cyanate_ester_triazine_cure,trimerization_temperature_c;catalyst_loading;post_cure_temperature_c,trimerization_temperature_c;catalyst_loading;post_cure_temperature_c,3,True,True,0.9607010615902885,0.24487199862381953,0.12,0.595829062966469,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,1
vae_latent_local_search,artifacts/trail/generation/vae_latent_local_search_eval/replacement_proposals_scored.csv,175,vae_latent_local_search_0175,195.0,194.62675651389424,194.62675651389424,37.489550893072206,0.3732434861057641,N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1|Nc1ccc(Oc2ccc(N)cc2)cc1,0.90000:0.10000,source_candidate|replacement_pool,source_a|replacement_b,aromatic;cyanate_ester;ether;nitrile|aromatic;ether;primary_amine,氰酸酯-胺共反应。,1.9545429944992063,0.0,,cyanate_ester_amine,cyanate_ester_triazine_cure,trimerization_temperature_c;catalyst_loading;post_cure_temperature_c,trimerization_temperature_c;catalyst_loading;post_cure_temperature_c,3,True,True,0.9280694624481634,0.2460840443003372,0.12,0.5619854181478262,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,2
pievo_ensemble_guard_selected,artifacts/pievo_faithful_ensemble_guard_195_smoke/selected_formulations.csv,4,surrogate_round_5,195.0,195.88528601980957,195.88528601980957,31.73751888673809,0.8852860198095414,CC(C)(C(=O)O)c1cccnc1Nc1ccc(Cl)cc1|CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.34577:0.65423,chembl|library,chembl_scan_166|library_10,aromatic;carboxylic_acid;hydroxyl;secondary_amine|aromatic;epoxy;ether,环氧-羧酸开环酯化。,1.7490637302398682,1.0,,epoxy_carboxylic_acid,epoxy_anhydride_catalyzed_cure,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,3,True,True,0.8377318615708169,0.2411595063408865,0.12,0.47657235522993047,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,3
vae_latent_local_search,artifacts/trail/generation/vae_latent_local_search_eval/replacement_proposals_scored.csv,35,vae_latent_local_search_0035,195.0,195.5690184359816,195.5690184359816,37.692848373878284,0.569018435981576,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1(C)CC(N)CC(C)(CN)C1,0.70000:0.30000,source_candidate|replacement_pool,source_a|replacement_b,aromatic;epoxy;ether;vinyl|primary_amine,环氧-伯胺开环固化。,1.9787976741790767,0.0,,epoxy_primary_amine,epoxy_amine_thermal_cure,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,5,True,True,0.8924331347377011,0.2478281720947637,0.2,0.4446049626429374,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,4
pievo_latent_local_search_selected,artifacts/pievo_faithful_vae_latent_local_search_195_smoke/selected_formulations.csv,1,surrogate_round_2,195.0,195.11905729703824,195.11905729703824,46.46276015866557,0.119057297038239,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|NCCNCCN|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.38304:0.53431:0.08265,library|library|generated,library_103|library_67|generated_diepoxy_bpf,aromatic;epoxy;ether|primary_amine;secondary_amine|aromatic;epoxy;ether,环氧-伯胺开环固化。,2.3194167613983154,1.0,,epoxy_primary_amine,epoxy_amine_thermal_cure,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,5,True,True,0.9764697965973076,0.33189630363527733,0.2,0.44457349296203025,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,5
vae_latent_local_search,artifacts/trail/generation/vae_latent_local_search_eval/replacement_proposals_scored.csv,115,vae_latent_local_search_0115,195.0,194.0782066429732,194.0782066429732,48.12142957874608,0.9217933570268144,CC1(C)CC(N)CC(C)(CN)C1|O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0.50000:0.50000,replacement_pool|source_candidate,replacement_b|source_a,primary_amine|aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,1.5517873764038086,0.0,,isocyanate_primary_amine,isocyanate_urethane_urea,moisture_control;nco_index;cure_temperature_c,moisture_control;nco_index;cure_temperature_c,3,True,True,0.8316374657486086,0.28716076918584466,0.12,0.424476696562764,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,6
sparse_target_replacement_250,artifacts/trail/generation/sparse_target_replacement_expansion/target_250/replacement_eval/replacement_proposals_scored.csv,204,sparse_target_replacement_250_0204,250.0,249.96571728997148,249.96571728997148,77.98662330230695,0.0342827100285205,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.95000:0.05000,source_candidate|replacement_pool,source_a|replacement_b,aromatic;hydroxyl;phenol|aromatic;epoxy;ether,环氧-羟基醚化，常需催化剂。,2.3801095485687256,0.0,,epoxy_hydroxyl,epoxy_anhydride_catalyzed_cure,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,3,True,True,0.9931669104469126,0.46133640296859657,0.12,0.41183050747831607,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,7
sparse_target_replacement_250,artifacts/trail/generation/sparse_target_replacement_expansion/target_250/replacement_eval/replacement_proposals_scored.csv,215,sparse_target_replacement_250_0215,250.0,250.5543530246221,250.5543530246221,64.77423201680902,0.5543530246221167,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,0.45000:0.55000,source_candidate|replacement_pool,source_a|replacement_b,aromatic;hydroxyl;phenol|anhydride;aromatic;ester;ether,酸酐-羟基酯化。,1.830588936805725,1.0,,anhydride_hydroxyl,anhydride_amine_imidization,solvent;imidization_temperature_c;imidization_time_h,solvent;imidization_temperature_c;imidization_time_h,3,True,True,0.8950545570884264,0.4087888281882168,0.12,0.3662657289002096,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,8
vae_latent_local_search,artifacts/trail/generation/vae_latent_local_search_eval/replacement_proposals_scored.csv,49,vae_latent_local_search_0049,195.0,195.72079701466947,195.72079701466947,62.52793981067184,0.720797014669472,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|O=C(O)CS,0.35000:0.65000,source_candidate|replacement_pool,source_a|replacement_b,aromatic;epoxy;ether|carboxylic_acid;hydroxyl;thiol,环氧-羧酸开环酯化。,1.835460066795349,1.0,,epoxy_carboxylic_acid,epoxy_anhydride_catalyzed_cure,catalyst_loading;cure_temperature_c;post_cure_temperature_c,catalyst_loading;cure_temperature_c;post_cure_temperature_c,3,True,True,0.8657497340119554,0.39770350105721963,0.12,0.3480462329547358,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,9
vae_latent_local_search,artifacts/trail/generation/vae_latent_local_search_eval/replacement_proposals_scored.csv,10,vae_latent_local_search_0010,195.0,195.5946019533614,195.5946019533614,73.07373295608497,0.5946019533614049,C=C(C)C(=O)OCCOc1ccccc1|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000,replacement_pool|source_candidate,replacement_a|source_b,aromatic;ester;ether;vinyl|aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,1.8980321884155276,0.0,,maleimide_vinyl,maleimide_addition_or_copolymerization,cure_temperature_c;co_reactant_stoichiometry;post_cure_temperature_c,cure_temperature_c;co_reactant_stoichiometry;post_cure_temperature_c,3,True,True,0.8878784813574925,0.42230963043289066,0.12,0.3455688509246018,process_design_for_dsc,1,"complete missing process fields, then decide whether to schedule synthesis/DSC.",False,needs_human_review,10
