completion_rank,request_id,execution_rank,validation_rank,process_record_id,linked_observation_id,target_tg_c,surrogate_tg_c,target_distance_c,predicted_tg_sigma_c,candidate_origin,process_template,reaction_principle,required_inputs,required_input_count,unlocks_observation_request,process_completion_status,process_ready,reviewer_approved,operator,completion_notes,smiles,ratios,catalyst_loading,co_reactant_stoichiometry,cure_temperature_c,cure_time_h,imidization_temperature_c,imidization_time_h,mix_temperature_c,post_cure_temperature_c,post_cure_time_h,solvent
1,validation_001_process_completion,1,1,review_queue_0007,sparse_target_replacement_250_0204,250.0,249.96571728997148,0.0342827100285205,77.98662330230695,sparse_target_replacement_250,epoxy_anhydride_catalyzed_cure,epoxy_hydroxyl,catalyst_loading;cure_temperature_c;post_cure_temperature_c,3,True,pending_human_input,False,False,smp02_human_review_queue,,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.95000:0.05000,,,,,,,,,,
2,validation_011_process_completion,2,11,review_queue_0014,surrogate_round_3,195.0,195.0590323055354,0.0590323055353962,57.63734892553668,pievo_latent_local_search_selected,epoxy_amine_thermal_cure,epoxy_secondary_amine,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,5,True,pending_human_input,False,False,smp02_human_review_queue,,COC(=O)c1cc(CCc2ccc(OC)cc2OC)ccc1O|Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21|O=C(NCc1ccc(S(=O)(=O)O)cc1)C(CS)Cc1ccccc1|c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,0.06645:0.18729:0.16791:0.57835,,,,,,,,,,
3,validation_002_process_completion,3,2,review_queue_0011,sparse_target_replacement_250_0058,250.0,249.88881937114007,0.1111806288599268,83.05386411514712,sparse_target_replacement_250,anhydride_amine_imidization,anhydride_hydroxyl,solvent;imidization_temperature_c;imidization_time_h,3,True,pending_human_input,False,False,smp02_human_review_queue,,O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.60000:0.40000,,,,,,,,,,
4,validation_009_process_completion,4,9,review_queue_0005,surrogate_round_2,195.0,195.11905729703824,0.119057297038239,46.46276015866557,pievo_latent_local_search_selected,epoxy_amine_thermal_cure,epoxy_primary_amine,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,5,True,pending_human_input,False,False,smp02_human_review_queue,,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|NCCNCCN|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.38304:0.53431:0.08265,,,,,,,,,,
5,validation_003_process_completion,5,3,review_queue_0008,sparse_target_replacement_250_0215,250.0,250.5543530246221,0.5543530246221167,64.77423201680902,sparse_target_replacement_250,anhydride_amine_imidization,anhydride_hydroxyl,solvent;imidization_temperature_c;imidization_time_h,3,True,pending_human_input,False,False,smp02_human_review_queue,,CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1|O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,0.45000:0.55000,,,,,,,,,,
6,validation_006_process_completion,6,6,review_queue_0016,sparse_target_replacement_250_0035,250.0,249.6163776184917,0.3836223815083031,74.65113242987776,sparse_target_replacement_250,epoxy_amine_thermal_cure,epoxy_primary_amine,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,5,True,pending_human_input,False,False,smp02_human_review_queue,,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1,0.20000:0.80000,,,,,,,,,,
7,validation_008_process_completion,7,8,review_queue_0018,sparse_target_replacement_250_0008,250.0,249.4053290851912,0.5946709148088019,73.69969771454676,sparse_target_replacement_250,epoxy_amine_thermal_cure,epoxy_primary_amine,mix_temperature_c;cure_temperature_c;cure_time_h;post_cure_temperature_c;post_cure_time_h,5,True,pending_human_input,False,False,smp02_human_review_queue,,COc1ccc(OCC2CO2)c(CCCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1|Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.25000:0.75000,,,,,,,,,,
8,validation_007_process_completion,8,7,review_queue_0019,sparse_target_replacement_250_0277,250.0,250.7669903376895,0.7669903376894922,85.46044057445054,sparse_target_replacement_250,epoxy_anhydride_catalyzed_cure,epoxy_anhydride,catalyst_loading;cure_temperature_c;post_cure_temperature_c,3,True,pending_human_input,False,False,smp02_human_review_queue,,COc1cc(CC2CO2)ccc1OP(=O)(Oc1ccc(CC2CO2)cc1OC)Oc1ccc(CC2CO2)cc1OC|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000,,,,,,,,,,
9,validation_010_process_completion,9,10,review_queue_0020,sparse_target_replacement_250_0182,250.0,250.85196239366724,0.851962393667236,85.72298280428798,sparse_target_replacement_250,epoxy_anhydride_catalyzed_cure,epoxy_anhydride,catalyst_loading;cure_temperature_c;post_cure_temperature_c,3,True,pending_human_input,False,False,smp02_human_review_queue,,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1|O=C1OC(=O)c2cc(Cc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000,,,,,,,,,,
10,validation_014_process_completion,10,14,review_queue_0015,vae_latent_local_search_0063,195.0,195.4722136422204,0.4722136422203391,70.25119156721226,vae_latent_local_search,maleimide_addition_or_copolymerization,maleimide_amine,cure_temperature_c;co_reactant_stoichiometry;post_cure_temperature_c,3,True,pending_human_input,False,False,smp02_human_review_queue,,Nc1ccc(-c2ccc(N)cc2)cc1|O=C1C=CC(=O)N1c1ccccc1N1C(=O)C=CC1=O,0.55000:0.45000,,,,,,,,,,
