smiles_a,smiles_b,groups_a,groups_b,compatibility_reason,ratio_a,ratio_b,predicted_tg,target_distance,in_target_range,candidate_smiles,candidate_ratios,candidate_components,pred_gaussianprocess_rbf_tg_c,sigma_gaussianprocess_rbf_tg_c,pred_nusvr_rbf_tg_c,pred_xgboost_hist_depth3_tg_c,pred_extratrees_300_tg_c,pred_extratrees_600_tg_c,pred_gradientboosting_squared_tg_c,ensemble_mean_tg_c,ensemble_std_tg_c,ensemble_min_tg_c,ensemble_max_tg_c,ensemble_range_tg_c,ensemble_model_count,best_model_predicted_tg_c,best_model_delta_c,gpr_sigma_tg_c,ensemble_target_distance_c,disagreement_bucket,ensemble_near_target,ensemble_near_target_low_disagreement,ensemble_near_target_high_disagreement
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,Cc1ccc(N=C=O)cc1N=C=O,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,0.7,0.3,208.64109225624665,13.641092256246653,False,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1|Cc1ccc(N=C=O)cc1N=C=O,0.70000:0.30000,2,208.65324957454374,72.78183040529399,371.31735598738925,158.07779,150.6277335968817,148.79688375356264,155.48566108957604,198.82644555143236,79.80667237312078,148.79688375356264,371.31735598738925,222.5204722338266,6,208.64109225624665,-9.814646704814294,72.78183040529399,3.826445551432357,high_disagreement,True,False,True
Nc1ccc(Oc2ccc(N)cc2)cc1,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,aromatic;ether;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,0.55,0.4499999999999999,173.52901561353983,21.470984386460174,False,Nc1ccc(Oc2ccc(N)cc2)cc1|O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0.55000:0.45000,2,173.33727633600424,92.96528307474365,365.2962349898593,149.78236,167.30523337063477,163.12684988654237,154.35020419731643,195.5330271119931,76.31984762791906,149.78236389160156,365.2962349898593,215.5138710982577,6,173.52901561353983,22.00401149845328,92.96528307474365,0.5330271119931069,high_disagreement,True,False,True
Nc1ccc(Cc2ccc(N)cc2)cc1,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,0.55,0.4499999999999999,186.58850451537973,8.411495484620275,False,Nc1ccc(Cc2ccc(N)cc2)cc1|O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0.55000:0.45000,2,186.4292482950003,86.60806279530428,359.87228252647884,150.49304,155.37513348997513,152.62061654484165,160.30471223615706,194.18250584744007,75.05896797656793,150.4930419921875,359.87228252647884,209.37924053429134,6,186.58850451537973,7.594001332060344,86.60806279530428,0.8174941525599309,high_disagreement,True,False,True
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,N#CNC(=N)N,aromatic;isocyanate,nitrile;primary_amine;secondary_amine,异氰酸酯-伯胺形成聚脲。,0.8,0.1999999999999999,208.70451547438435,13.704515474384351,False,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1|N#CNC(=N)N,0.80000:0.20000,2,208.58106783282904,59.570824843368655,348.41173143734034,154.70435,137.88653334695437,138.41678667317578,155.1800730236285,190.53008966950884,74.46777669909876,137.88653334695437,348.41173143734034,210.52519809038597,6,208.70451547438435,-18.17442580487551,59.570824843368655,4.46991033049116,high_disagreement,True,False,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether,aromatic;epoxy;ether;hydroxyl,环氧-羟基醚化，常需催化剂。,0.8,0.1999999999999999,185.82393366400365,9.176066335996351,False,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1|COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,0.80000:0.20000,2,185.887869405562,114.73203732802685,38.450020092391874,264.94412,215.43535445630454,214.50192478050846,229.57827566966242,191.4662611198137,72.34381964702574,38.450020092391874,264.9441223144531,226.49410222206126,6,185.82393366400365,5.642327455810062,114.73203732802685,3.5337388801862915,high_disagreement,True,False,True
NCc1cccc(CN)c1,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,0.2,0.8,214.85436172857464,19.854361728574617,False,NCc1cccc(CN)c1|O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0.20000:0.80000,2,214.7639240606939,64.79084151144585,348.0120503581946,159.73366,141.76593363787276,143.0694534776167,173.05768653757434,196.73378431814436,71.92715260819156,141.76593363787276,348.0120503581946,206.24611672032182,6,214.85436172857464,-18.120577410430286,64.79084151144585,1.7337843181443588,high_disagreement,True,False,True
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,Nc1ccccc1,aromatic;isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,0.85,0.15,207.33287333916263,12.33287333916266,False,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1|Nc1ccccc1,0.85000:0.15000,2,207.25826488739585,71.40276404879873,344.8581854125374,150.47672,143.12316663570655,145.5269033355663,162.84351528120297,192.34779177338328,71.5549801255815,143.12316663570655,344.8581854125374,201.73501877683086,6,207.33287333916263,-14.985081565779353,71.40276404879873,2.6522082266167217,high_disagreement,True,False,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether,aromatic;epoxy;ether;hydroxyl,环氧-羟基醚化，常需催化剂。,0.85,0.15,188.24575434738185,6.754245652618181,False,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1|COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,0.85000:0.15000,2,188.29692641311826,118.3198395792351,45.49803502921977,266.15994,217.43014805615647,216.81924860414685,230.23822664591378,194.0737545625847,70.32695351625419,45.49803502921977,266.1599426269531,220.66190759773335,6,188.24575434738185,5.828000215202849,118.3198395792351,0.9262454374153037,high_disagreement,True,False,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether,aromatic;epoxy;ether;hydroxyl,环氧-羟基醚化，常需催化剂。,0.9,0.0999999999999999,191.34366325155008,3.6563367484499167,True,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1|COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,0.90000:0.10000,2,191.38118390488322,121.98482020389609,53.106897916741374,268.49002,224.4500086595893,225.3098753939061,235.19296993834985,199.6551594275705,69.30485160024915,53.106897916741374,268.4900207519531,215.38312283521174,6,191.34366325155008,8.311496176020427,121.98482020389609,4.65515942757051,high_disagreement,True,False,True
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,Oc1ccc(Oc2ccc(O)cc2)cc1,aromatic;isocyanate,aromatic;ether;hydroxyl;phenol,异氰酸酯-羟基形成聚氨酯。,0.55,0.4499999999999999,195.4009399581064,0.4009399581064201,True,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1|Oc1ccc(Oc2ccc(O)cc2)cc1,0.55000:0.45000,2,195.28480024646512,82.48391877140926,349.85154078200895,159.14037,158.06273367899178,156.3891666312989,168.287998173276,197.83610085210447,69.26449607967508,156.3891666312989,349.85154078200895,193.46237415071005,6,195.4009399581064,2.4351608939980736,82.48391877140926,2.8361008521044653,high_disagreement,True,False,True
