smiles_a,smiles_b,groups_a,groups_b,compatibility_reason,ratio_a,ratio_b,predicted_tg,target_distance,in_target_range,candidate_smiles,candidate_ratios,candidate_components,pred_gaussianprocess_rbf_tg_c,sigma_gaussianprocess_rbf_tg_c,pred_nusvr_rbf_tg_c,pred_xgboost_hist_depth3_tg_c,pred_extratrees_300_tg_c,pred_extratrees_600_tg_c,pred_gradientboosting_squared_tg_c,ensemble_mean_tg_c,ensemble_std_tg_c,ensemble_min_tg_c,ensemble_max_tg_c,ensemble_range_tg_c,ensemble_model_count,best_model_predicted_tg_c,best_model_delta_c,gpr_sigma_tg_c,ensemble_target_distance_c,disagreement_bucket,ensemble_near_target,ensemble_near_target_low_disagreement,ensemble_near_target_high_disagreement
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;epoxy;ether;vinyl,aromatic;primary_amine,环氧-伯胺开环固化。,0.75,0.25,199.2037616175376,4.2037616175375945,True,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|Nc1ccc(-c2ccc(N)cc2)cc1,0.75000:0.25000,2,199.2818280244673,25.470357266854993,204.79815281217947,196.8972,199.55252238316504,194.11710273361075,174.61439524710048,194.8768671231015,9.617034383317497,174.61439524710048,204.79815281217947,30.18375756507899,6,199.2037616175376,-4.32689449443609,25.470357266854993,0.12313287689849517,low_disagreement,True,True,False
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,CC1(C)CC(N)CC(C)(CN)C1,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,0.95,0.05,209.09821929603615,14.098219296036175,False,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1(C)CC(N)CC(C)(CN)C1,0.95000:0.05000,2,209.58513578472298,58.68236842699,179.0557156587685,193.92064,196.24633158229202,193.28559498331032,196.76962674926926,194.81050729940816,8.902434779350013,179.0557156587685,209.58513578472298,30.529420125954488,6,209.09821929603615,-14.28771199662799,58.68236842699,0.18949270059184187,low_disagreement,True,True,False
COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,aromatic;epoxy;ether;hydroxyl;phenol,aromatic;cyanate_ester;ether;nitrile,氰酸酯-酚共固化/催化三聚。,0.5,0.5,189.5380350968236,5.46196490317638,False,COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1|CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.50000:0.50000,2,189.5839519094264,88.26486927968443,196.21456098952234,199.56354,191.58171137399123,188.8899947911657,205.5313006577822,195.22750955325736,5.933649824914463,188.8899947911657,205.5313006577822,16.641305866616506,6,189.5380350968236,5.689474456433771,88.26486927968443,0.227509553257363,low_disagreement,True,True,False
Nc1ccc(Oc2ccc(N)cc2)cc1,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.4,0.6,185.30009354625057,9.699906453749437,False,Nc1ccc(Oc2ccc(N)cc2)cc1|Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,0.40000:0.60000,2,185.50374615776687,26.09380023438764,203.26494471287364,196.62239,193.6884963644441,190.56091327422405,201.72980831408145,195.2283832617434,6.157965019428279,185.50374615776687,203.26494471287364,17.761198555106773,6,185.30009354625057,9.928289715492838,26.09380023438764,0.22838326174340295,low_disagreement,True,True,False
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.65,0.35,200.08456811143105,5.084568111431025,False,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1|Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.65000:0.35000,2,200.3486139396119,52.384403390318596,182.06698804593978,196.86748,189.32979773556823,190.43074167416498,212.37539350552936,195.23650205296772,9.608641568012922,182.06698804593978,212.37539350552936,30.30840545958958,6,200.08456811143105,-4.848066058463331,52.384403390318596,0.23650205296772242,low_disagreement,True,True,False
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,ether;primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.05,0.95,195.0777005992173,0.0777005992173087,True,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000,2,195.2760701530169,94.98225193957325,183.59082768078719,191.08385,198.96101935899136,198.48263602418996,200.62820077980376,194.6704335071146,5.837023632475631,183.59082768078719,200.62820077980376,17.037373099016577,6,195.0777005992173,-0.40726709210269973,94.98225193957325,0.32956649288539097,low_disagreement,True,True,False
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;epoxy;ether;vinyl,aromatic;primary_amine,环氧-伯胺开环固化。,0.8,0.1999999999999999,198.3771383001684,3.3771383001684114,True,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|Nc1ccc(-c2ccc(N)cc2)cc1,0.80000:0.20000,2,198.5475623075898,28.07340289224659,194.6490071547271,193.96837,206.2262421484483,202.16600236860845,177.43557181713277,195.49879238779667,9.111980527761709,177.43557181713277,206.2262421484483,28.79067033131554,6,198.3771383001684,-2.878345912371742,28.07340289224659,0.49879238779666935,low_disagreement,True,True,False
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,COc1cc(CC2CO2)ccc1Oc1nc(Oc2ccc(CC3CO3)cc2OC)nc(Oc2ccc(CC3CO3)cc2OC)n1,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.4,0.6,198.07167029705337,3.071670297053373,True,Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1|COc1cc(CC2CO2)ccc1Oc1nc(Oc2ccc(CC3CO3)cc2OC)nc(Oc2ccc(CC3CO3)cc2OC)n1,0.40000:0.60000,2,197.93180868353085,56.496958812564735,194.34930342995307,194.87509,197.68066554214994,195.61919911346735,186.35792710477529,194.46899923776846,3.864314054346509,186.35792710477529,197.93180868353085,11.573881578755561,6,198.07167029705337,-3.6026710592849156,56.496958812564735,0.5310007622315425,low_disagreement,True,True,False
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,CC1(C)CC(CN)CC(C)(N)C1,aromatic;epoxy;ether;vinyl,primary_amine,环氧-伯胺开环固化。,0.95,0.05,208.81801440580008,13.818014405800056,False,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1(C)CC(CN)CC(C)(N)C1,0.95000:0.05000,2,209.29306883063148,58.91580031434957,178.43432702235515,195.19582,197.65966481894165,193.6789282611927,199.37934138963024,195.6068577271317,9.170057273632679,178.43432702235515,209.29306883063148,30.858741808276335,6,208.81801440580008,-13.211156678668374,58.91580031434957,0.606857727131711,low_disagreement,True,True,False
c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,aromatic;epoxy;ether,aromatic;ether;hydroxyl;phenol,环氧-羟基醚化，常需催化剂。,0.45,0.55,183.1603004122631,11.839699587736902,False,c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.45000:0.55000,2,183.26427044459817,80.69810738203459,183.7262623308708,206.24928,198.14533224677916,197.00716527730057,197.6614427072621,194.34229264062083,8.264184819935792,183.26427044459817,206.24928283691406,22.985012392315895,6,183.1603004122631,11.181992228357728,80.69810738203459,0.6577073593791738,low_disagreement,True,True,False
