ML method,latent_size,model_family,MAPEK test dataset (%),MAE test dataset (C),RMSE test dataset (C),MAPE test dataset (%),PCP test dataset (%),R2 test,model_path
VAE (512) + GaussianProcess_RBF,512,model_zoo,3.9778051975274606,18.764057961351718,40.43710014932832,16.596516907559035,66.17647058823529,0.823342857763097,artifacts/reproduce/predictors/latent_512/zoo_gaussianprocess_rbf_latent_512.joblib
VAE (512) + NuSVR_RBF,512,model_zoo,4.137924610962422,17.983606911126735,30.945529773132304,33.12439683725457,63.23529411764706,0.8965412951519194,artifacts/reproduce/predictors/latent_512/zoo_nusvr_rbf_latent_512.joblib
VAE (512) + XGBoost_hist_depth3,512,model_zoo,4.559109667741952,20.44291418001932,38.60561785929583,92.6196815575463,61.76470588235294,0.8389828205108643,artifacts/reproduce/predictors/latent_512/zoo_xgboost_hist_depth3_latent_512.joblib
VAE (512) + ExtraTrees_300,512,model_zoo,4.597351366563323,20.60327694602264,41.00181430483873,100.60597944236017,67.64705882352942,0.8183742828341323,artifacts/reproduce/predictors/latent_512/zoo_extratrees_300_latent_512.joblib
VAE (512) + ExtraTrees_600,512,model_zoo,4.643616271990504,20.8469779160491,41.34715267247539,100.0508584947612,66.17647058823529,0.8153019081302224,artifacts/reproduce/predictors/latent_512/zoo_extratrees_600_latent_512.joblib
VAE (512) + GradientBoosting_squared,512,model_zoo,4.6513465017177005,20.622871523021846,37.24437371283757,130.73193188239912,57.35294117647059,0.8501376478191778,artifacts/reproduce/predictors/latent_512/zoo_gradientboosting_squared_latent_512.joblib
VAE (512) + LightGBM_leaves31,512,model_zoo,4.69167165774112,21.23577384080305,39.309818289985245,99.65824150068472,57.35294117647059,0.8330550578665117,artifacts/reproduce/predictors/latent_512/zoo_lightgbm_leaves31_latent_512.joblib
VAE (512) + NGBoost,512,model_zoo,4.699063103999189,20.96290619799281,37.80096893296968,115.05365593183016,58.82352941176471,0.8456249691448721,artifacts/reproduce/predictors/latent_512/zoo_ngboost_latent_512.joblib
VAE (256) + ExtraTrees_600,256,model_zoo,4.702636243505158,21.59472946607735,45.0727388190666,67.28791910537156,63.23529411764706,0.7805179083188621,artifacts/reproduce/predictors/latent_256/zoo_extratrees_600_latent_256.joblib
VAE (256) + ExtraTrees_300,256,model_zoo,4.713204205347688,21.596981631333005,44.88345941121391,65.89594399334555,63.23529411764706,0.7823574331507256,artifacts/reproduce/predictors/latent_256/zoo_extratrees_300_latent_256.joblib
