smiles_a,smiles_b,ratio_a,ratio_b,predicted_tg,target_distance,compatibility_reason
Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,Cc1ccc(N=C=O)cc1N=C=O,0.65,0.35,194.99681974863265,0.003180251367354,异氰酸酯-伯胺形成聚脲。
C=CC(=O)OCCOCCOc1ccccc1,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.3,0.7,195.005365464446,0.0053654644459584,马来酰亚胺与烯基共聚/加成。
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.1,0.9,194.99270136027468,0.0072986397253202,环氧-伯胺开环固化。
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,CC1(C)CC(CN)CC(C)(N)C1,0.7,0.3,195.0074809970216,0.0074809970215881,环氧-伯胺开环固化。
Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,OCCOCCO,0.35,0.65,195.01964735721148,0.0196473572114825,环氧-羟基醚化，常需催化剂。
Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.8,0.1999999999999999,195.02246564460987,0.0224656446098663,氰酸酯-胺共反应。
CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,0.45,0.55,194.9718692273616,0.0281307726383772,氰酸酯-胺共反应。
CCC(CO)(CO)CO,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.4,0.6,194.97172510691192,0.0282748930880814,酸酐-羟基酯化。
Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.45,0.55,194.9706255175603,0.0293744824396924,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。
Nc1ccc(Cc2ccc(N)cc2)cc1,COc1ccc(OCC2CO2)c(CCC(=O)OCCCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,0.8,0.1999999999999999,194.9680933755005,0.0319066244994985,环氧-伯胺开环固化。
Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.35,0.65,195.03353555451383,0.0335355545138327,环氧-伯胺开环固化。
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,CC1(C)CC(CN)CC(C)(N)C1,0.5,0.5,194.96602828161116,0.0339717183888694,异氰酸酯-伯胺形成聚脲。
CC(C)(COCC1CO1)COCC1CO1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.15,0.85,194.95952419286985,0.0404758071301785,环氧-伯胺开环固化。
CC(C)(C1CCC(OCC2CO2)CC1)C1CCC(OCC2CO2)CC1,O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.55,0.4499999999999999,194.95941713278893,0.0405828672110715,环氧-羟基醚化，常需催化剂。
O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1,Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,0.45,0.55,194.9569816362589,0.0430183637411403,异氰酸酯-伯胺形成聚脲。
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,0.8,0.1999999999999999,194.9547346440699,0.0452653559300983,环氧-伯胺开环固化。
CCCCC1OC1CCCCC1OC1CCCCCCCC(=O)Oc1ccccc1,CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,0.1,0.9,194.9547102397765,0.0452897602235395,环氧-伯胺开环固化。
N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,0.9,0.0999999999999999,194.94929841273185,0.050701587268179,氰酸酯-胺共反应。
COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1,Nc1ccc(N)cc1,0.25,0.75,194.94813494469585,0.0518650553041482,环氧-伯胺开环固化。
COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,Nc1ccc(-c2ccc(N)cc2)cc1,0.65,0.35,195.0519676887893,0.0519676887893183,环氧-伯胺开环固化。
O=C(O)CC(O)(CC(=O)O)C(=O)O,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.6,0.4,194.9473625522864,0.0526374477135789,酸酐-羟基酯化。
COc1cc(CC2CO2)ccc1Oc1nc(Oc2ccc(CC3CO3)cc2OC)nc(Oc2ccc(CC3CO3)cc2OC)n1,Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,0.65,0.35,195.0544014720464,0.0544014720463792,环氧-伯胺开环固化。
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.7,0.3,195.05442759522305,0.0544275952230464,环氧-酸酐固化，常需催化剂。
NCc1cccc(CN)c1,O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,0.45,0.55,194.94551988801533,0.0544801119846738,环氧-伯胺开环固化。
Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.5,0.5,194.94471725094252,0.0552827490574543,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。
O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.7,0.3,195.05549935201284,0.0554993520128448,环氧-羧酸开环酯化。
O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,0.65,0.35,195.05668386501452,0.0566838650145484,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。
COc1cc(CO)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,0.5,0.5,195.06010201147032,0.0601020114703203,环氧-伯胺开环固化。
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,Nc1cc(N)cc(N)c1,0.95,0.05,195.06061932598905,0.0606193259890517,环氧-伯胺开环固化。
C=CCOCC(CC)(CO)CO,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.2,0.8,194.93666941795487,0.0633305820451255,酸酐-羟基酯化。
c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.6,0.4,195.0647996097464,0.0647996097464158,环氧-伯胺开环固化。
Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,NCCNCCNCCN,0.4,0.6,194.92990425795884,0.0700957420411612,环氧-伯胺开环固化。
CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.8,0.1999999999999999,194.92969773309807,0.0703022669019333,氰酸酯-胺共反应。
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,CC1CCC2C(=O)OC(=O)C2C1,0.15,0.85,194.9294485032177,0.0705514967822864,环氧-酸酐固化，常需催化剂。
O=C(O)CC(O)(CC(=O)O)C(=O)O,O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,0.15,0.85,195.07161748110676,0.0716174811067276,环氧-羧酸开环酯化。
COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1,O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.5,0.5,195.07208601858272,0.0720860185827234,环氧-羟基醚化，常需催化剂。
CC(C)(C)N,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,0.6,0.4,195.07349076813892,0.0734907681389529,环氧-伯胺开环固化。
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05,0.95,195.0777005992173,0.0777005992173087,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,0.6,0.4,194.9217208454995,0.0782791545005068,环氧-伯胺开环固化。
O=C(O)CC(O)(CC(=O)O)C(=O)O,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,0.65,0.35,194.9200604306288,0.0799395693711915,环氧-羧酸开环酯化。
COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1,0.4,0.6,194.91926557922017,0.0807344207798337,环氧-伯胺开环固化。
